t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.52097289012475,140160.35411592093,9857.189009310407,0.5612
2,95.612,9736.157889857484,121.03111945292255,0.06456
3,95.612,0.0,121.03111945292255,0.0
4,95.612,0.0,121.03111945292255,0.0
5,95.612,0.0,121.03111945292255,0.0
6,95.612,0.0,121.03111945292255,0.0
7,95.612,0.0,121.03111945292255,0.0
8,95.612,0.0,121.03111945292255,0.0
9,95.612,0.0,121.03111945292255,0.0
10,95.612,0.0,121.03111945292255,0.0
11,95.612,0.0,121.03111945292255,0.0
12,95.612,0.0,121.03111945292255,0.0
13,95.612,0.0,121.03111945292255,0.0
14,95.612,0.0,121.03111945292255,0.0
15,95.612,0.0,121.03111945292255,0.0
16,95.612,0.0,121.03111945292255,0.0
17,95.612,0.0,121.03111945292255,0.0
18,95.612,0.0,121.03111945292255,0.0
19,95.612,0.0,121.03111945292255,0.0
20,95.612,0.0,121.03111945292255,0.0
21,95.612,0.0,121.03111945292255,0.0
22,95.612,0.0,121.03111945292255,0.0
23,95.612,0.0,121.03111945292255,0.0
24,95.612,0.0,121.03111945292255,0.0
25,95.612,0.0,121.03111945292255,0.0
26,95.612,0.0,121.03111945292255,0.0
27,95.612,0.0,121.03111945292255,0.0
28,95.612,0.0,121.03111945292255,0.0
29,95.60686335876683,0.0,121.03111945292255,0.0
30,95.57657968671272,36.35244181591639,129.08902000802797,0.00016
31,95.50503200073591,648.3302147415777,249.31721998849122,0.00256
32,95.3794507486753,1487.0554035208067,571.3257246786034,0.00596
33,95.1966616520844,2729.635793539168,1260.814291612252,0.01108
34,94.9623832810384,4530.4211909709975,2397.404160495682,0.0184
35,94.69669420335639,6411.119434387166,4203.353026513907,0.0258
36,94.36389292636659,7311.264279256149,6367.742039169281,0.02976
37,93.97035205218307,9093.491978536666,9122.959381402512,0.03644
38,93.53228170955526,11145.032741135225,12414.600000708057,0.04524
39,93.01225041444056,12136.06827558059,16199.648747349302,0.04944
40,92.46559875564932,14737.3947388931,20782.04045378128,0.05972
41,91.93389260832441,16675.33236680282,26203.15076499158,0.06724
42,91.51835132792552,17001.577371804284,31741.110051257794,0.069
43,91.35485150834944,15291.49110759368,37178.837637424826,0.061
44,91.32338563391754,9799.153813583442,41444.63784214416,0.03996
45,91.33388690512471,5719.739309212899,44561.18570117659,0.0238
46,91.3592844548151,4033.47789694421,46734.77512283985,0.01748
47,91.38555394177854,3253.426881503581,48208.25185628626,0.01428
48,91.42991871409221,2977.664773380565,49446.187504101414,0.013
49,91.47918007892136,2800.946487428507,50392.384748071614,0.01228
50,91.51504970558483,2502.8597575529625,50841.35726479519,0.01048
51,91.55814479832532,2574.924389383453,51523.29319128364,0.01084
52,91.6060008890828,2793.8770738536923,52005.63454148484,0.0118
53,91.64720079915243,2765.2269517211644,52397.60479134645,0.01164
54,91.68283759470565,2815.520175356127,52635.639314010936,0.01184
55,91.70846743506222,3596.2472044195397,53173.06807828968,0.01496
56,91.73599175289822,4302.886403507895,53730.266233550006,0.01776
57,91.74943183060788,4819.5267309284645,54451.97044507375,0.02016
58,91.75592720606191,5714.653516926812,54761.752197066584,0.02336
59,91.7430928117898,5934.833321277591,55168.74013203754,0.0244
60,91.73439869745627,6793.53657749856,55735.07568485137,0.02864
61,91.71776415688001,7914.113433653552,56309.1750293535,0.03256
62,91.6607591862272,8176.140426942601,56861.5255941108,0.03332
63,91.6355159631259,10124.110913834236,57836.46295746372,0.04172
64,91.59939508758994,10298.723166868043,59369.028568762544,0.04224
65,91.58479764008257,11300.89504837033,60645.59421013828,0.047
66,91.5494854563162,11422.656486892187,61718.826021627036,0.04712
67,91.48449467245857,11670.808862554548,62531.682358730824,0.04768
68,91.4607568700207,11902.37024613582,64568.300306715704,0.049
69,91.46135664751722,12037.865125612481,66631.7178977344,0.04944
70,91.41927563879399,11114.001108695305,67377.02367792255,0.0458
71,91.42461132251523,11069.872305292174,69207.7404196324,0.04576
72,91.41409887810144,9764.475066363237,70208.37281943453,0.04028
73,91.42504286433146,8874.36474540308,71746.60090730242,0.03584
74,91.43384789807912,7649.481272776917,72708.35547388929,0.03116
75,91.4429273751938,6257.725282998878,73484.67734321293,0.02548
76,91.45081513623221,4917.353475195729,74322.384067027,0.01984
77,91.45976434594517,4029.255237998012,75001.03449132228,0.01676
78,91.46881597159438,3291.631592715583,75977.08719201876,0.01348
79,91.47050867693355,2883.9781583458584,76427.53027983358,0.01204
80,91.49128573252139,2590.4048382801257,77119.67828486563,0.01088
81,91.48893774028281,2151.6016998934624,77397.07944206336,0.00924
82,91.48187910023084,1758.105549469687,77566.91383614436,0.00772
83,91.46904263796866,1559.7598764407792,78016.05281609493,0.00684
84,91.4640463178177,1618.6256647534985,78400.77713877127,0.00716
85,91.47909533789823,1563.5278322221825,79141.85426069939,0.00716
86,91.52655275596592,1802.510119321986,79787.92477162038,0.00812
87,91.57864202729647,1745.6631940150733,80418.32113121913,0.00812
88,91.63975718079848,1894.8808799776464,81006.42889730146,0.00892
89,91.71413620763727,1884.7517705821585,81774.75470208377,0.00924
90,91.79591619061682,2012.8206233645824,82367.29488318878,0.00968
91,91.9069245931749,2250.1206551820715,82968.89003038498,0.01096
92,92.00619370543143,2126.0432329903624,83045.8794025302,0.01016
93,92.09889879167483,2029.3097545527166,83076.71110566602,0.00952
94,92.18120601094378,1871.5956148614432,83176.45724024829,0.00844
95,92.23729651261431,1809.7213530550125,83275.2868059603,0.00808
96,92.25158687276779,652.7262739524796,82220.89077751485,0.00284
97,92.27424695976327,703.7459699020625,82392.49407917181,0.003
98,92.30153303415675,680.2907920523996,82581.38375769944,0.00296
99,92.32598076150235,622.4941074683305,82477.77883531133,0.00272
100,92.34316779155489,500.54569210585464,82361.14846632807,0.00228
101,92.35324121108195,377.0440111158862,82328.49422760835,0.00184
