t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.54561819840823,154595.71091335802,10781.42626668783,0.5636522308279699
2,95.6365223082797,10580.958034387768,200.4682323000623,0.06432493363877677
3,95.6365223082797,0.0,200.4682323000623,0.0
4,95.6365223082797,0.0,200.4682323000623,0.0
5,95.6365223082797,0.0,200.4682323000623,0.0
6,95.6365223082797,0.0,200.4682323000623,0.0
7,95.6365223082797,0.0,200.4682323000623,0.0
8,95.6365223082797,0.0,200.4682323000623,0.0
9,95.6365223082797,0.0,200.4682323000623,0.0
10,95.6365223082797,0.0,200.4682323000623,0.0
11,95.6365223082797,0.0,200.4682323000623,0.0
12,95.6365223082797,0.0,200.4682323000623,0.0
13,95.6365223082797,0.0,200.4682323000623,0.0
14,95.6365223082797,0.0,200.4682323000623,0.0
15,95.6365223082797,0.0,200.4682323000623,0.0
16,95.6365223082797,0.0,200.4682323000623,0.0
17,95.6365223082797,0.0,200.4682323000623,0.0
18,95.6365223082797,0.0,200.4682323000623,0.0
19,95.6365223082797,0.0,200.4682323000623,0.0
20,95.6365223082797,0.0,200.4682323000623,0.0
21,95.6365223082797,0.0,200.4682323000623,0.0
22,95.6365223082797,0.0,200.4682323000623,0.0
23,95.6365223082797,0.0,200.4682323000623,0.0
24,95.6365223082797,0.0,200.4682323000623,0.0
25,95.6365223082797,0.0,200.4682323000623,0.0
26,95.6365223082797,0.0,200.4682323000623,0.0
27,95.6365223082797,0.0,200.4682323000623,0.0
28,95.6365223082797,0.0,200.4682323000623,0.0
29,95.63060178861448,0.0,200.4682323000623,0.0
30,95.60240469854652,117.39712976172652,222.18288573450403,0.00039998545507436095
31,95.53186592886317,679.6137715308893,364.986676577763,0.0026180866150321805
32,95.41099845016116,1608.3829591022939,732.953822178496,0.005927057197920076
33,95.23196932625855,3107.8488169946595,1458.2348862448218,0.011163230427984438
34,94.99833374317589,4901.255288047056,2712.500230536173,0.017381186138685865
35,94.73258853861223,6715.25401521913,4597.333497497121,0.024508199701829023
36,94.41104759107614,8276.256094449793,7007.138820442805,0.030180720701065415
37,94.02560093816618,10261.186860532973,10111.187017146294,0.03792589360386895
38,93.57894642769789,11676.460742231817,13573.693255548626,0.04298025526344496
39,93.08964843442143,14051.879339031499,17769.07693115348,0.0521435584160576
40,92.53977051170942,15435.013817401697,22889.481412029232,0.05734336933202429
41,91.97783825272325,17877.897670114304,28528.037305578127,0.0661794116577579
42,91.57367435000899,19820.77413009966,34745.25302393623,0.07297916439402204
43,91.40152467611003,16144.839801870123,40561.539688574005,0.059597832806079776
44,91.37526422943866,10909.372323577481,45385.44944966286,0.040471255590705794
45,91.42156456294693,6963.285365589428,49231.81258165336,0.026544489291298497
46,91.44424763588665,4436.33540702173,51588.753856739844,0.017562997709174213
47,91.49968927253009,3801.6777391960713,53337.15332596929,0.01501763572233737
48,91.54762337921399,3150.890749248224,54236.851235084476,0.012544998363695865
49,91.58851966239405,2782.237352053131,55334.24329178093,0.01058143340242173
50,91.63719428422951,2816.1130043524663,56132.860493723136,0.010617795716519399
51,91.69615358473928,2948.3922007623023,56825.39392729635,0.010981418857496091
52,91.75004223859422,2914.807582113232,57276.754334887126,0.010945056543398422
53,91.79379085158293,3037.019452918694,57515.84092260315,0.011526853568961128
54,91.83152750755211,3247.160867536907,58056.648470184504,0.01232682447910985
55,91.85135864255562,3676.1711413499957,58224.429733318844,0.013963128613504964
56,91.86942682133002,4443.266307841961,58820.88989905548,0.016653939856732483
57,91.86740400206706,4751.349414557456,59309.89358547848,0.017817533907857896
58,91.87701017761648,6147.028780565873,59949.36511936752,0.022871895567433912
59,91.86538489504807,6679.688338778806,60423.94829105119,0.024617286644122032
60,91.85325017620224,7824.24655934312,61049.259692630556,0.028762590451256318
61,91.85033580689057,8680.327644369845,62024.44847062684,0.03319879277117196
62,91.8305215912426,9398.187469475844,63006.34044337293,0.035235082360641434
63,91.78030741515016,10251.389361488154,63851.81296503474,0.03847132831533399
64,91.73995395917592,10917.81468477738,65024.53921040548,0.04101669030217083
65,91.70685215017514,11939.652539092991,66394.79074875722,0.04483473328242609
66,91.67215142913783,13063.070579318,68315.2104567048,0.048870950147267375
67,91.65730359543377,13322.957399356446,69979.23878880123,0.049561834115123084
68,91.62998647514044,12979.764807448424,71302.20645149681,0.049125486345951055
69,91.61553950831525,13110.863320189474,72815.13523236813,0.048761863204974366
70,91.61254831181989,13350.247825894367,74313.68103594173,0.04967092105741609
71,91.60175133360387,11892.919285746688,75501.86047131555,0.04476200865423075
72,91.57992316324099,10849.982001416543,76898.72343568018,0.040798516417584814
73,91.61626357503006,10338.39928072366,79041.27434418607,0.03847132831533399
74,91.62711122661169,8500.235824402742,80099.87510703648,0.032035198720046544
75,91.62067532588753,6669.737091720731,80622.19725218976,0.025308170611977748
76,91.63718470124658,5181.714923981831,81689.8330077593,0.01978109886913203
77,91.65322351582472,4685.611789323653,82877.31535888159,0.01763572233736955
78,91.64987041582748,3451.672555398175,83197.88430990124,0.01279953456237955
79,91.66164945708456,3010.818137060617,83799.93023077562,0.011417766626668121
80,91.67377608428312,2641.4736723024976,84538.77436265221,0.009963274062761355
81,91.68593289746113,2328.369630845727,84861.82133730449,0.008872404639831279
82,91.69193564590873,1924.680333341682,85331.65413221488,0.007563361332315189
83,91.70268288324965,1782.164110813948,85891.04915020154,0.007127013563143159
84,91.71845244027045,1766.6460014022614,86326.73755924447,0.006945201992654812
85,91.74558433019617,1857.7716839557152,87039.14399094776,0.007454274390022181
86,91.78901434658798,1886.9255882786715,87572.0795714227,0.007817897530998872
87,91.8246956823661,1713.6666673483844,87872.79926732344,0.007308825133631504
88,91.86688140185929,1729.5554977329398,88527.89151058187,0.007672448274608196
89,91.92559888663067,1906.338234090858,89483.26218857619,0.008290607614268572
90,92.00798126600355,2169.8222892066765,90172.97317385155,0.009490563979491655
91,92.10176911891479,2248.0327008573863,90723.62295981884,0.009745100178175339
