t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.51012122707077,154154.76304557014,10639.679256188852,0.560015999418203
2,95.60015999418204,10554.9021579508,84.77709823804852,0.06363404967092105
3,95.60015999418204,0.0,84.77709823804852,0.0
4,95.60015999418204,0.0,84.77709823804852,0.0
5,95.60015999418204,0.0,84.77709823804852,0.0
6,95.60015999418204,0.0,84.77709823804852,0.0
7,95.60015999418204,0.0,84.77709823804852,0.0
8,95.60015999418204,0.0,84.77709823804852,0.0
9,95.60015999418204,0.0,84.77709823804852,0.0
10,95.60015999418204,0.0,84.77709823804852,0.0
11,95.60015999418204,0.0,84.77709823804852,0.0
12,95.60015999418204,0.0,84.77709823804852,0.0
13,95.60015999418204,0.0,84.77709823804852,0.0
14,95.60015999418204,0.0,84.77709823804852,0.0
15,95.60015999418204,0.0,84.77709823804852,0.0
16,95.60015999418204,0.0,84.77709823804852,0.0
17,95.60015999418204,0.0,84.77709823804852,0.0
18,95.60015999418204,0.0,84.77709823804852,0.0
19,95.60015999418204,0.0,84.77709823804852,0.0
20,95.60015999418204,0.0,84.77709823804852,0.0
21,95.60015999418204,0.0,84.77709823804852,0.0
22,95.60015999418204,0.0,84.77709823804852,0.0
23,95.60015999418204,0.0,84.77709823804852,0.0
24,95.60015999418204,0.0,84.77709823804852,0.0
25,95.60015999418204,0.0,84.77709823804852,0.0
26,95.60015999418204,0.0,84.77709823804852,0.0
27,95.60015999418204,0.0,84.77709823804852,0.0
28,95.60015999418204,0.0,84.77709823804852,0.0
29,95.59467559267392,0.0,84.77709823804852,0.0
30,95.56629205894373,73.21150541060362,101.01316947375724,0.0002908985127813534
31,95.49554251304646,615.7213467214948,223.93633709730952,0.002290825788153158
32,95.37634040711892,1788.2079672532548,610.9605409884115,0.006508854223482782
33,95.201784913969,3329.607657560285,1420.763597029898,0.012217737536816844
34,94.97054874855132,4679.176732973364,2604.9288626054695,0.01719937456819752
35,94.70580322787812,6771.108554075471,4440.9544241017375,0.02436275044543835
36,94.37444387049277,8091.952708014795,6753.270738465192,0.029889822188284062
37,93.98682183071085,9973.006832218707,9948.611475386833,0.03647140103996218
38,93.57098137691857,12791.92314206598,13722.855516603855,0.04672557361550489
39,93.09248475349698,14300.73765146755,17990.891082817594,0.05177993527508091
40,92.54558991870474,15973.114834850976,22940.24599793517,0.05865241263954038
41,92.00447273543529,17969.802604479297,28647.968819635553,0.06599760008726956
42,91.62842259680183,19334.42037903042,34872.64104376442,0.07127013563143159
43,91.51730943059822,17098.949203507953,40997.85150908319,0.0632340642158467
44,91.52421117666808,10754.727213449434,45541.91963032077,0.040362168648412786
45,91.57897966804225,6377.310572969141,49079.43454619104,0.023999127304461656
46,91.6344032324662,4242.523568828317,51191.50660984052,0.016690302170830153
47,91.65337152897925,3007.960383355897,52181.610807530575,0.01189047670993782
48,91.694365363626,2685.3380983018915,53383.73388230693,0.010472346460128722
49,91.74673366094144,2577.4836905114903,54273.58535100153,0.0101450856332497
50,91.7961239874315,2522.843051414756,54788.45546357645,0.009745100178175339
51,91.84388531747574,2506.2827165004537,55227.54607605797,0.009490563979491655
52,91.89096936325457,2754.9490928879536,55690.269897116836,0.010290534889640377
53,91.92891669361094,2935.3174218226914,56081.108137352974,0.010908694229300752
