GM_CODE,baseline,aant_inw_original,between_45_64,AANT_INW
GM0014,2841.0,13349.0,2168.0,233273
GM0034,2841.0,12287.0,2759.0,214715
GM0037,2841.0,1817.0,2956.0,31754
GM0047,2841.0,1569.0,2956.0,27417
GM0050,2841.0,1309.0,3055.0,22879
GM0059,2841.0,1597.0,2759.0,27900
GM0060,2841.0,214.0,2661.0,3746
GM0072,2841.0,905.0,2858.0,15807
GM0074,2841.0,2898.0,2858.0,50650
GM0080,2841.0,7123.0,2562.0,124481
GM0085,2841.0,1457.0,2956.0,25464
GM0086,2841.0,1706.0,2956.0,29812
GM0088,2841.0,53.0,3252.0,931
GM0090,2841.0,3207.0,2759.0,56040
GM0093,2841.0,279.0,2858.0,4870
GM0096,2841.0,68.0,3252.0,1194
GM0098,2841.0,1495.0,2858.0,26130
GM0106,2841.0,3939.0,2858.0,68836
GM0109,2841.0,2021.0,2956.0,35317
GM0114,2841.0,6124.0,2956.0,107024
GM0118,2841.0,3182.0,2661.0,55603
GM0119,2841.0,1968.0,2759.0,34386
GM0141,2841.0,4185.0,2759.0,73132
GM0147,2841.0,1354.0,2661.0,23668
GM0148,2841.0,1654.0,2858.0,28901
GM0150,2841.0,5793.0,2759.0,101236
GM0153,2841.0,9140.0,2562.0,159732
GM0158,2841.0,1386.0,2956.0,24229
GM0160,2841.0,3511.0,2759.0,61357
GM0163,2841.0,2056.0,2759.0,35932
GM0164,2841.0,4638.0,2759.0,81049
GM0166,2841.0,3117.0,2464.0,54474
GM0168,2841.0,1310.0,2956.0,22888
GM0171,2841.0,2723.0,2661.0,47583
GM0173,2841.0,1814.0,2759.0,31701
GM0175,2841.0,1047.0,2759.0,18295
GM0177,2841.0,2169.0,2956.0,37911
GM0180,2841.0,988.0,2365.0,17261
GM0183,2841.0,1220.0,2858.0,21315
GM0184,2841.0,1215.0,1971.0,21227
GM0189,2841.0,1404.0,2759.0,24538
GM0193,2841.0,7430.0,2464.0,129840
GM0197,2841.0,1552.0,2956.0,27120
GM0200,2841.0,9429.0,2759.0,164781
GM0202,2841.0,9294.0,2562.0,162424
GM0203,2841.0,3433.0,2365.0,59992
GM0209,2841.0,1497.0,3055.0,26157
GM0213,2841.0,1195.0,3055.0,20884
GM0214,2841.0,1546.0,3153.0,27009
GM0216,2841.0,1666.0,2956.0,29121
GM0221,2841.0,633.0,3153.0,11064
GM0222,2841.0,3334.0,2858.0,58270
GM0225,2841.0,1087.0,3055.0,18991
GM0226,2841.0,1434.0,3252.0,25066
GM0228,2841.0,6783.0,2562.0,118530
GM0230,2841.0,1341.0,2661.0,23429
GM0232,2841.0,1900.0,2858.0,33198
GM0233,2841.0,1546.0,2759.0,27016
GM0243,2841.0,2788.0,2661.0,48726
GM0244,2841.0,700.0,2759.0,12228
GM0246,2841.0,1074.0,2956.0,18776
GM0252,2841.0,948.0,3055.0,16569
GM0262,2841.0,1943.0,3055.0,33948
GM0263,2841.0,1456.0,3055.0,25452
GM0267,2841.0,2495.0,2661.0,43600
GM0268,2841.0,10149.0,2365.0,177359
GM0269,2841.0,1360.0,2759.0,23760
GM0273,2841.0,1394.0,2661.0,24365
GM0274,2841.0,1798.0,3055.0,31417
GM0275,2841.0,2491.0,2858.0,43525
GM0277,2841.0,99.0,3153.0,1726
GM0279,2841.0,580.0,2464.0,10128
GM0281,2841.0,2399.0,2858.0,41920
GM0285,2841.0,1419.0,2956.0,24790
GM0289,2841.0,2268.0,2168.0,39635
GM0293,2841.0,859.0,3055.0,15014
GM0294,2841.0,1661.0,2858.0,29022
GM0296,2841.0,2361.0,2956.0,41261
GM0297,2841.0,1685.0,2661.0,29447
GM0299,2841.0,2523.0,2858.0,44096
GM0301,2841.0,2753.0,2956.0,48111
GM0302,2841.0,1603.0,2562.0,28021
GM0303,2841.0,2404.0,2858.0,42011
GM0307,2841.0,9010.0,2759.0,157462
GM0308,2841.0,1419.0,2858.0,24792
GM0310,2841.0,2483.0,2759.0,43384
GM0312,2841.0,878.0,2858.0,15341
GM0313,2841.0,1260.0,2464.0,22019
GM0317,2841.0,536.0,3055.0,9362
GM0321,2841.0,2874.0,3055.0,50223
GM0327,2841.0,1748.0,2858.0,30544
GM0331,2841.0,827.0,2956.0,14456
GM0335,2841.0,795.0,2858.0,13896
GM0339,2841.0,318.0,2464.0,5556
GM0340,2841.0,1156.0,2759.0,20203
GM0342,2841.0,2684.0,2858.0,46906
GM0344,2841.0,20564.0,2069.0,359370
GM0345,2841.0,3829.0,2562.0,66912
GM0351,2841.0,780.0,2562.0,13639
GM0352,2841.0,1369.0,3055.0,23925
GM0353,2841.0,1935.0,3055.0,33819
GM0355,2841.0,3722.0,2661.0,65043
GM0356,2841.0,3655.0,2661.0,63866
GM0358,2841.0,1831.0,2956.0,31991
GM0361,2841.0,6289.0,2759.0,109896
GM0362,2841.0,5198.0,2562.0,90829
GM0363,2841.0,49975.0,2365.0,873338
GM0370,2841.0,579.0,2956.0,10110
GM0373,2841.0,1700.0,3055.0,29715
GM0375,2841.0,2396.0,2759.0,41863
GM0376,2841.0,684.0,2661.0,11952
GM0377,2841.0,1343.0,2956.0,23478
GM0383,2841.0,2065.0,2858.0,36086
GM0384,2841.0,1793.0,2266.0,31334
GM0385,2841.0,2075.0,2858.0,36268
GM0388,2841.0,1066.0,2759.0,18637
GM0392,2841.0,9301.0,2661.0,162543
GM0394,2841.0,9029.0,2956.0,157789
GM0396,2841.0,2243.0,2956.0,39191
GM0397,2841.0,1576.0,2759.0,27545
GM0398,2841.0,3341.0,2661.0,58387
GM0399,2841.0,1382.0,2956.0,24144
GM0400,2841.0,3238.0,2858.0,56582
GM0402,2841.0,5221.0,2661.0,91235
GM0405,2841.0,4213.0,2661.0,73619
GM0406,2841.0,2351.0,2956.0,41090
GM0415,2841.0,662.0,2956.0,11565
GM0416,2841.0,1621.0,2759.0,28335
GM0417,2841.0,652.0,2858.0,11400
GM0420,2841.0,2584.0,2858.0,45165
GM0431,2841.0,554.0,3055.0,9689
GM0432,2841.0,687.0,2759.0,12009
GM0437,2841.0,808.0,2858.0,14125
GM0439,2841.0,4674.0,2956.0,81683
GM0441,2841.0,2663.0,2858.0,46532
GM0448,2841.0,781.0,3055.0,13656
GM0450,2841.0,780.0,2956.0,13632
GM0451,2841.0,1728.0,2858.0,30206
GM0453,2841.0,3926.0,2956.0,68617
GM0457,2841.0,1170.0,2759.0,20445
GM0473,2841.0,982.0,3055.0,17168
GM0479,2841.0,8978.0,2759.0,156901
GM0482,2841.0,1152.0,2562.0,20136
GM0484,2841.0,6443.0,2759.0,112587
GM0489,2841.0,2784.0,2956.0,48643
GM0498,2841.0,1135.0,2858.0,19838
GM0501,2841.0,998.0,2956.0,17439
GM0502,2841.0,3852.0,2661.0,67319
GM0503,2841.0,5927.0,2266.0,103581
GM0505,2841.0,6816.0,2759.0,119115
GM0512,2841.0,2141.0,2759.0,37410
GM0513,2841.0,4216.0,2661.0,73681
GM0518,2841.0,31377.0,2562.0,548320
GM0523,2841.0,1054.0,2464.0,18413
GM0530,2841.0,2307.0,2858.0,40312
GM0531,2841.0,1789.0,2562.0,31258
GM0532,2841.0,1244.0,2661.0,21743
GM0534,2841.0,1270.0,2759.0,22197
GM0537,2841.0,3776.0,2562.0,65995
GM0542,2841.0,1683.0,2562.0,29410
GM0546,2841.0,7101.0,2365.0,124093
GM0547,2841.0,1567.0,2858.0,27377
GM0553,2841.0,1315.0,2858.0,22982
GM0556,2841.0,1921.0,2562.0,33567
GM0569,2841.0,1668.0,2956.0,29151
GM0575,2841.0,2521.0,2858.0,44062
GM0579,2841.0,1434.0,2759.0,25064
GM0589,2841.0,580.0,2759.0,10138
GM0590,2841.0,1841.0,2661.0,32171
GM0597,2841.0,2671.0,2661.0,46671
GM0599,2841.0,37288.0,2365.0,651631
GM0603,2841.0,3160.0,2464.0,55220
GM0606,2841.0,4537.0,2661.0,79279
GM0610,2841.0,1465.0,2464.0,25597
GM0613,2841.0,1477.0,3055.0,25814
GM0614,2841.0,853.0,3153.0,14900
GM0622,2841.0,4230.0,2562.0,73924
GM0626,2841.0,1468.0,2759.0,25650
GM0627,2841.0,1744.0,2464.0,30479
GM0629,2841.0,1542.0,2956.0,26949
GM0632,2841.0,3015.0,2759.0,52694
GM0637,2841.0,7168.0,2661.0,125267
GM0638,2841.0,506.0,2956.0,8843
GM0642,2841.0,2562.0,2562.0,44775
GM0654,2841.0,1306.0,2858.0,22818
GM0664,2841.0,2208.0,2759.0,38594
GM0668,2841.0,1120.0,3153.0,19581
GM0677,2841.0,1578.0,3153.0,27575
GM0678,2841.0,737.0,2759.0,12882
GM0687,2841.0,2802.0,2661.0,48964
GM0703,2841.0,1310.0,2365.0,22896
GM0715,2841.0,3117.0,2858.0,54463
GM0716,2841.0,1493.0,2661.0,26085
GM0717,2841.0,1256.0,2759.0,21953
GM0718,2841.0,2538.0,2759.0,44358
GM0736,2841.0,2559.0,3055.0,44720
GM0737,2841.0,1835.0,2759.0,32060
GM0743,2841.0,962.0,2858.0,16817
GM0744,2841.0,395.0,2858.0,6899
GM0748,2841.0,3863.0,2858.0,67514
GM0753,2841.0,1729.0,3055.0,30216
GM0755,2841.0,627.0,2858.0,10959
GM0756,2841.0,1694.0,3055.0,29609
GM0757,2841.0,1887.0,2858.0,32973
GM0758,2841.0,10536.0,2562.0,184126
GM0762,2841.0,1856.0,2858.0,32437
GM0765,2841.0,697.0,2956.0,12176
GM0766,2841.0,1509.0,2858.0,26368
GM0770,2841.0,1117.0,2956.0,19528
GM0772,2841.0,13487.0,2365.0,235691
GM0777,2841.0,2510.0,2759.0,43869
GM0779,2841.0,1246.0,2858.0,21770
GM0784,2841.0,1529.0,2858.0,26723
GM0785,2841.0,1371.0,2759.0,23952
GM0786,2841.0,714.0,2956.0,12486
GM0794,2841.0,5300.0,2858.0,92627
GM0796,2841.0,8898.0,2759.0,155490
GM0797,2841.0,2575.0,2956.0,45005
GM0798,2841.0,898.0,3055.0,15698
GM0809,2841.0,1345.0,2956.0,23504
GM0815,2841.0,630.0,3153.0,11004
GM0820,2841.0,1356.0,2858.0,23702
GM0823,2841.0,1078.0,3153.0,18842
GM0824,2841.0,1852.0,2956.0,32373
GM0826,2841.0,3216.0,2858.0,56206
GM0828,2841.0,5295.0,2858.0,92526
GM0840,2841.0,1321.0,3252.0,23080
GM0845,2841.0,1688.0,2956.0,29498
GM0847,2841.0,1112.0,2956.0,19428
GM0848,2841.0,1004.0,2759.0,17552
GM0851,2841.0,1391.0,3055.0,24310
GM0852,2841.0,991.0,2956.0,17312
GM0855,2841.0,12701.0,2562.0,221947
GM0856,2841.0,2420.0,2759.0,42291
GM0858,2841.0,1787.0,2858.0,31221
GM0861,2841.0,2604.0,2858.0,45500
GM0865,2841.0,1812.0,2858.0,31669
GM0866,2841.0,1004.0,2858.0,17544
GM0867,2841.0,2793.0,2759.0,48815
GM0873,2841.0,1261.0,3055.0,22028
GM0879,2841.0,1258.0,3055.0,21988
GM0880,2841.0,935.0,2956.0,16333
GM0882,2841.0,2132.0,3055.0,37262
GM0888,2841.0,908.0,3055.0,15875
GM0889,2841.0,770.0,2956.0,13450
GM0893,2841.0,750.0,3252.0,13108
GM0899,2841.0,1583.0,3055.0,27670
GM0907,2841.0,975.0,3055.0,17035
GM0917,2841.0,4975.0,2956.0,86936
GM0928,2841.0,2600.0,3055.0,45442
GM0935,2841.0,6880.0,2464.0,120227
GM0938,2841.0,1068.0,3055.0,18661
GM0944,2841.0,453.0,3252.0,7909
GM0946,2841.0,983.0,2956.0,17171
GM0957,2841.0,3363.0,2858.0,58763
GM0965,2841.0,600.0,3055.0,10477
GM0971,2841.0,1423.0,3055.0,24875
GM0981,2841.0,577.0,3055.0,10084
GM0983,2841.0,5836.0,2858.0,101988
GM0984,2841.0,2501.0,2956.0,43713
GM0986,2841.0,713.0,2956.0,12466
GM0988,2841.0,2862.0,2858.0,50011
GM0994,2841.0,936.0,3055.0,16365
GM0995,2841.0,4567.0,2661.0,79811
GM1507,2841.0,2431.0,2956.0,42487
GM1509,2841.0,2252.0,3055.0,39346
GM1525,2841.0,2163.0,2956.0,37791
GM1581,2841.0,2858.0,2956.0,49946
GM1586,2841.0,1692.0,2956.0,29574
GM1598,2841.0,1313.0,2956.0,22940
GM1621,2841.0,3626.0,2759.0,63363
GM1640,2841.0,2063.0,3055.0,36045
GM1641,2841.0,1370.0,3153.0,23947
GM1652,2841.0,1760.0,2858.0,30760
GM1655,2841.0,1741.0,2956.0,30430
GM1658,2841.0,929.0,2956.0,16243
GM1659,2841.0,1305.0,2858.0,22805
GM1667,2841.0,751.0,2759.0,13127
GM1669,2841.0,1178.0,3055.0,20580
GM1674,2841.0,4418.0,2858.0,77200
GM1676,2841.0,1949.0,2858.0,34065
GM1680,2841.0,1453.0,3153.0,25399
GM1681,2841.0,1465.0,3153.0,25598
GM1684,2841.0,1454.0,2956.0,25404
GM1685,2841.0,905.0,2858.0,15817
GM1690,2841.0,1395.0,3055.0,24374
GM1695,2841.0,434.0,3153.0,7581
GM1696,2841.0,1400.0,3055.0,24463
GM1699,2841.0,1786.0,2956.0,31214
GM1700,2841.0,1928.0,2759.0,33699
GM1701,2841.0,1125.0,3153.0,19661
GM1702,2841.0,669.0,3055.0,11691
GM1705,2841.0,2679.0,2956.0,46822
GM1706,2841.0,1202.0,2858.0,21001
GM1708,2841.0,2537.0,2858.0,44341
GM1709,2841.0,2128.0,3055.0,37185
GM1711,2841.0,1817.0,3055.0,31751
GM1714,2841.0,1326.0,2956.0,23166
GM1719,2841.0,1564.0,3055.0,27325
GM1721,2841.0,1800.0,2858.0,31455
GM1723,2841.0,594.0,3055.0,10373
GM1724,2841.0,1073.0,2956.0,18754
GM1728,2841.0,1175.0,2858.0,20529
GM1729,2841.0,813.0,3153.0,14206
GM1730,2841.0,1944.0,2956.0,33978
GM1731,2841.0,1910.0,3055.0,33381
GM1734,2841.0,2759.0,2956.0,48214
GM1735,2841.0,2005.0,2956.0,35040
GM1740,2841.0,1410.0,2464.0,24648
GM1742,2841.0,2186.0,2464.0,38204
GM1771,2841.0,2293.0,2759.0,40066
GM1773,2841.0,1051.0,3055.0,18361
GM1774,2841.0,1522.0,2858.0,26606
GM1783,2841.0,6374.0,2661.0,111382
GM1842,2841.0,1111.0,2956.0,19414
GM1859,2841.0,2509.0,2956.0,43846
GM1876,2841.0,2065.0,3153.0,36087
GM1883,2841.0,5250.0,2956.0,91743
GM1884,2841.0,1576.0,2956.0,27541
GM1891,2841.0,1084.0,2759.0,18943
GM1892,2841.0,2579.0,2759.0,45064
GM1894,2841.0,2498.0,2956.0,43660
GM1895,2841.0,2190.0,3055.0,38277
GM1896,2841.0,1306.0,2464.0,22823
GM1900,2841.0,5150.0,2858.0,89999
GM1901,2841.0,2019.0,2661.0,35278
GM1903,2841.0,1482.0,2858.0,25900
GM1904,2841.0,3726.0,2858.0,65108
GM1911,2841.0,2780.0,2956.0,48583
GM1916,2841.0,4374.0,2661.0,76433
GM1924,2841.0,2895.0,2858.0,50589
GM1926,2841.0,3186.0,2956.0,55674
GM1930,2841.0,4889.0,2759.0,85440
GM1931,2841.0,3240.0,2759.0,56622
GM1940,2841.0,2963.0,2858.0,51778
GM1942,2841.0,3349.0,2858.0,58524
GM1945,2841.0,2003.0,3055.0,35010
GM1948,2841.0,4672.0,2858.0,81647
GM1949,2841.0,2641.0,2956.0,46149
GM1950,2841.0,1500.0,2956.0,26215
GM1952,2841.0,3475.0,3055.0,60726
GM1954,2841.0,2064.0,3055.0,36065
GM1955,2841.0,2062.0,3055.0,36031
GM1959,2841.0,3225.0,2759.0,56352
GM1960,2841.0,2947.0,2956.0,51496
GM1961,2841.0,3309.0,2661.0,57829
GM1963,2841.0,5038.0,2858.0,88047
GM1966,2841.0,2737.0,2956.0,47834
GM1969,2841.0,3644.0,2858.0,63678
GM1970,2841.0,2603.0,2759.0,45481
GM1978,2841.0,2525.0,2661.0,44130
GM1979,2841.0,2609.0,2956.0,45587
