VTG_percentage,p_smart,pref_home,steps,g,m,n_evs,n_evs_sensitivity,electricity_price_sensitivity,charging_speed_min,charging_speed_max,l_dep,m_dep,h_dep,offset_dep,l_dwell,m_dwell,h_dwell,offset_dwell,average_driving_speed,l_vol,m_vol,h_vol,l_energy,m_energy,h_energy,seed,p_pref,pref_strictness,weekend_week_ratio
0,0,0,672,0.000076,3,174000,0.8,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,421,1,1,0.8
0,0,0.25,672,0.000076,3,174000,0.8,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,422,1,1,0.8
0,0,0.75,672,0.000076,3,174000,0.8,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,423,1,1,0.8
0,0,1,672,0.000076,3,174000,0.8,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,424,1,1,0.8
0,0.5,0,672,0.000076,3,174000,0.9,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,425,1,1,0.8
0,0.5,0.25,672,0.000076,3,174000,0.9,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,426,1,1,0.8
0,0.5,0.75,672,0.000076,3,174000,0.9,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,427,1,1,0.8
0,0.5,1,672,0.000076,3,174000,0.9,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,428,1,1,0.8
0,1,0,672,0.000076,3,174000,1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,429,1,1,0.8
0,1,0.25,672,0.000076,3,174000,1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,430,1,1,0.8
0,1,0.75,672,0.000076,3,174000,1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,431,1,1,0.8
0,1,1,672,0.000076,3,174000,1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,432,1,1,0.8
0.1,0.4,0,672,0.000076,3,174000,1.1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,433,1,1,0.8
0.1,0.4,0.25,672,0.000076,3,174000,1.1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,434,1,1,0.8
0.1,0.4,0.75,672,0.000076,3,174000,1.1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,435,1,1,0.8
0.1,0.4,1,672,0.000076,3,174000,1.1,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,436,1,1,0.8
0.1,0.9,0,672,0.000076,3,174000,1.2,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,437,1,1,0.8
0.1,0.9,0.25,672,0.000076,3,174000,1.2,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,438,1,1,0.8
0.1,0.9,0.75,672,0.000076,3,174000,1.2,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,439,1,1,0.8
0.1,0.9,1,672,0.000076,3,174000,1.2,1,20,60,30,34.5,66,2,12,28,36,3,10,16.7,59.6,107.8,0.104,0.192,0.281,440,1,1,0.8

