t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.56927390485107,141138.36603207802,9879.454864920737,0.56608
2,95.6608,9725.582800803943,153.87206411679324,0.065
3,95.6608,0.0,153.87206411679324,0.0
4,95.6608,0.0,153.87206411679324,0.0
5,95.6608,0.0,153.87206411679324,0.0
6,95.6608,0.0,153.87206411679324,0.0
7,95.6608,0.0,153.87206411679324,0.0
8,95.6608,0.0,153.87206411679324,0.0
9,95.6608,0.0,153.87206411679324,0.0
10,95.6608,0.0,153.87206411679324,0.0
11,95.6608,0.0,153.87206411679324,0.0
12,95.6608,0.0,153.87206411679324,0.0
13,95.6608,0.0,153.87206411679324,0.0
14,95.6608,0.0,153.87206411679324,0.0
15,95.6608,0.0,153.87206411679324,0.0
16,95.6608,0.0,153.87206411679324,0.0
17,95.6608,0.0,153.87206411679324,0.0
18,95.6608,0.0,153.87206411679324,0.0
19,95.6608,0.0,153.87206411679324,0.0
20,95.6608,0.0,153.87206411679324,0.0
21,95.6608,0.0,153.87206411679324,0.0
22,95.6608,0.0,153.87206411679324,0.0
23,95.6608,0.0,153.87206411679324,0.0
24,95.6608,0.0,153.87206411679324,0.0
25,95.6608,0.0,153.87206411679324,0.0
26,95.6608,0.0,153.87206411679324,0.0
27,95.6608,0.0,153.87206411679324,0.0
28,95.6608,0.0,153.87206411679324,0.0
29,95.65502792355582,0.0,153.87206411679324,0.0
30,95.62694921089279,105.85037094370249,174.11460883170324,0.0004
31,95.55285435427535,608.3333899976196,296.0941430034423,0.00244
32,95.42808958012284,1424.8673339415964,608.6699600014907,0.00576
33,95.25534327195675,2999.0140007041227,1368.6360970861278,0.0122
34,95.02259547797732,4451.510366623754,2529.720403931556,0.01776
35,94.7635155334295,6401.5073828349905,4327.947108418842,0.02564
36,94.43329920602362,7663.790321763835,6472.421247699122,0.03092
37,94.03246340796963,9219.144904223804,9139.116563648622,0.03676
38,93.57482270158779,10697.205354090394,12395.258086683902,0.0436
39,93.09038623745542,12941.21564646943,16331.83587017798,0.05272
40,92.53454590370022,14318.443022200556,20836.08711833373,0.05748
41,91.95397019891804,15891.219277717299,26009.566249259547,0.06492
42,91.53078560147894,17532.14955055025,31462.112733792168,0.07084
43,91.36332933303423,14951.400247549558,37062.565497166965,0.061
44,91.38009276816715,10888.734393764948,41885.22517847945,0.04456
45,91.390025161796,5802.902269084163,44832.56486350216,0.02432
46,91.4123074309419,3909.909437302464,46945.57249007595,0.01724
47,91.43960808152138,3232.298562089064,48587.23738819837,0.01404
48,91.48661404018176,3064.3360732860724,49707.461032525214,0.013
49,91.51844704344049,2536.3101213214404,50236.385870233746,0.01064
50,91.56021888347654,2458.986011804797,51010.72505689115,0.01016
51,91.60301806956325,2707.364826385268,51447.14001747,0.01104
52,91.65346286795776,2624.054388029863,52088.488849251575,0.01076
53,91.70567646695338,2869.8418332986107,52530.92715263432,0.012
54,91.74190598636538,3020.8895517323585,52804.37826634466,0.01288
55,91.7569253225118,3316.6949609270405,53170.722166315376,0.01384
56,91.78576905327665,4194.924489566661,53756.22222038776,0.01752
57,91.806840527339,4968.613312300889,54186.75920334773,0.02008
58,91.79772797802346,5121.360139108885,54525.088794621915,0.0212
59,91.78789579174553,6003.746472648776,55238.11738576575,0.02508
60,91.79602386518374,7324.4261362693,56182.018628963626,0.03028
61,91.76672649556293,7381.806278761857,56488.599127380025,0.0312
62,91.72989701317088,8332.403236276954,57146.15338760671,0.03456
63,91.68953199174479,9545.05640826213,58040.58075696813,0.03968
64,91.63411257203455,10223.338195095797,58785.854538736145,0.04236
65,91.60256266157404,11376.187887972252,60591.159027017864,0.04608
66,91.59123334717417,11830.524073360637,61897.59636670467,0.04916
67,91.55526801436523,11516.474488522696,63173.36139743433,0.04724
68,91.52114166162613,12090.578899601294,64646.08132639797,0.04916
69,91.48271538457568,11785.340835623698,65815.88891777719,0.04772
70,91.46407810716661,11711.116061457138,67747.37390739995,0.04816
71,91.46288915864652,11192.546102838898,69251.7888298335,0.04652
72,91.46443772712514,10156.354702330898,70375.22515535615,0.04236
73,91.48143239794638,8924.42430202754,71877.65285768187,0.03696
74,91.49059515949916,7815.83865485595,72966.4607060514,0.03208
75,91.52279222924678,6372.455130763905,73751.1528233421,0.0264
76,91.53200623631255,4901.61649801939,74569.73201686724,0.02056
77,91.5366667094466,4107.368365238128,75038.6817586755,0.01716
78,91.53306343586104,3048.514442479566,75628.22620512014,0.01264
79,91.52725502295986,2598.399562918135,76003.05107012496,0.01072
80,91.52435215500404,2350.4032290839195,76641.94564871854,0.00976
81,91.53380433102265,2098.0635496748773,77219.64779163153,0.00888
82,91.53834476970013,1938.222266081002,77528.93113350138,0.00816
83,91.524964759994,1505.440015054114,77434.62307082687,0.00648
84,91.52545457971044,1425.6207099775186,77987.98420871781,0.00612
85,91.54083301845671,1533.1879984872996,78759.82299794028,0.00692
