GM_CODE,AANT_INW,EV_spatial_distribution_mean
GM0014,233273,49646
GM0034,214715,49646
GM0037,31754,49646
GM0047,27417,49646
GM0050,22879,49646
GM0059,27900,49646
GM0060,3746,49646
GM0072,15807,49646
GM0074,50650,49646
GM0080,124481,49646
GM0085,25464,49646
GM0086,29812,49646
GM0088,931,49646
GM0090,56040,49646
GM0093,4870,49646
GM0096,1194,49646
GM0098,26130,49646
GM0106,68836,49646
GM0109,35317,49646
GM0114,107024,49646
GM0118,55603,49646
GM0119,34386,49646
GM0141,73132,49646
GM0147,23668,49646
GM0148,28901,49646
GM0150,101236,49646
GM0153,159732,49646
GM0158,24229,49646
GM0160,61357,49646
GM0163,35932,49646
GM0164,81049,49646
GM0166,54474,49646
GM0168,22888,49646
GM0171,47583,49646
GM0173,31701,49646
GM0175,18295,49646
GM0177,37911,49646
GM0180,17261,49646
GM0183,21315,49646
GM0184,21227,49646
GM0189,24538,49646
GM0193,129840,49646
GM0197,27120,49646
GM0200,164781,49646
GM0202,162424,49646
GM0203,59992,49646
GM0209,26157,49646
GM0213,20884,49646
GM0214,27009,49646
GM0216,29121,49646
GM0221,11064,49646
GM0222,58270,49646
GM0225,18991,49646
GM0226,25066,49646
GM0228,118530,49646
GM0230,23429,49646
GM0232,33198,49646
GM0233,27016,49646
GM0243,48726,49646
GM0244,12228,49646
GM0246,18776,49646
GM0252,16569,49646
GM0262,33948,49646
GM0263,25452,49646
GM0267,43600,49646
GM0268,177359,49646
GM0269,23760,49646
GM0273,24365,49646
GM0274,31417,49646
GM0275,43525,49646
GM0277,1726,49646
GM0279,10128,49646
GM0281,41920,49646
GM0285,24790,49646
GM0289,39635,49646
GM0293,15014,49646
GM0294,29022,49646
GM0296,41261,49646
GM0297,29447,49646
GM0299,44096,49646
GM0301,48111,49646
GM0302,28021,49646
GM0303,42011,49646
GM0307,157462,49646
GM0308,24792,49646
GM0310,43384,49646
GM0312,15341,49646
GM0313,22019,49646
GM0317,9362,49646
GM0321,50223,49646
GM0327,30544,49646
GM0331,14456,49646
GM0335,13896,49646
GM0339,5556,49646
GM0340,20203,49646
GM0342,46906,49646
GM0344,359370,49646
GM0345,66912,49646
GM0351,13639,49646
GM0352,23925,49646
GM0353,33819,49646
GM0355,65043,49646
GM0356,63866,49646
GM0358,31991,49646
GM0361,109896,49646
GM0362,90829,49646
GM0363,873338,49646
GM0370,10110,49646
GM0373,29715,49646
GM0375,41863,49646
GM0376,11952,49646
GM0377,23478,49646
GM0383,36086,49646
GM0384,31334,49646
GM0385,36268,49646
GM0388,18637,49646
GM0392,162543,49646
GM0394,157789,49646
GM0396,39191,49646
GM0397,27545,49646
GM0398,58387,49646
GM0399,24144,49646
GM0400,56582,49646
GM0402,91235,49646
GM0405,73619,49646
GM0406,41090,49646
GM0415,11565,49646
GM0416,28335,49646
GM0417,11400,49646
GM0420,45165,49646
GM0431,9689,49646
GM0432,12009,49646
GM0437,14125,49646
GM0439,81683,49646
GM0441,46532,49646
GM0448,13656,49646
GM0450,13632,49646
GM0451,30206,49646
GM0453,68617,49646
GM0457,20445,49646
GM0473,17168,49646
GM0479,156901,49646
GM0482,20136,49646
GM0484,112587,49646
GM0489,48643,49646
GM0498,19838,49646
GM0501,17439,49646
GM0502,67319,49646
GM0503,103581,49646
GM0505,119115,49646
GM0512,37410,49646
GM0513,73681,49646
GM0518,548320,49646
GM0523,18413,49646
GM0530,40312,49646
GM0531,31258,49646
GM0532,21743,49646
GM0534,22197,49646
GM0537,65995,49646
GM0542,29410,49646
GM0546,124093,49646
GM0547,27377,49646
GM0553,22982,49646
GM0556,33567,49646
GM0569,29151,49646
GM0575,44062,49646
GM0579,25064,49646
GM0589,10138,49646
GM0590,32171,49646
GM0597,46671,49646
GM0599,651631,49646
GM0603,55220,49646
GM0606,79279,49646
GM0610,25597,49646
GM0613,25814,49646
GM0614,14900,49646
GM0622,73924,49646
GM0626,25650,49646
GM0627,30479,49646
GM0629,26949,49646
GM0632,52694,49646
GM0637,125267,49646
GM0638,8843,49646
GM0642,44775,49646
GM0654,22818,49646
GM0664,38594,49646
GM0668,19581,49646
GM0677,27575,49646
GM0678,12882,49646
GM0687,48964,49646
GM0703,22896,49646
GM0715,54463,49646
GM0716,26085,49646
GM0717,21953,49646
GM0718,44358,49646
GM0736,44720,49646
GM0737,32060,49646
GM0743,16817,49646
GM0744,6899,49646
GM0748,67514,49646
GM0753,30216,49646
GM0755,10959,49646
GM0756,29609,49646
GM0757,32973,49646
GM0758,184126,49646
GM0762,32437,49646
GM0765,12176,49646
GM0766,26368,49646
GM0770,19528,49646
GM0772,235691,49646
GM0777,43869,49646
GM0779,21770,49646
GM0784,26723,49646
GM0785,23952,49646
GM0786,12486,49646
GM0794,92627,49646
GM0796,155490,49646
GM0797,45005,49646
GM0798,15698,49646
GM0809,23504,49646
GM0815,11004,49646
GM0820,23702,49646
GM0823,18842,49646
GM0824,32373,49646
GM0826,56206,49646
GM0828,92526,49646
GM0840,23080,49646
GM0845,29498,49646
GM0847,19428,49646
GM0848,17552,49646
GM0851,24310,49646
GM0852,17312,49646
GM0855,221947,49646
GM0856,42291,49646
GM0858,31221,49646
GM0861,45500,49646
GM0865,31669,49646
GM0866,17544,49646
GM0867,48815,49646
GM0873,22028,49646
GM0879,21988,49646
GM0880,16333,49646
GM0882,37262,49646
GM0888,15875,49646
GM0889,13450,49646
GM0893,13108,49646
GM0899,27670,49646
GM0907,17035,49646
GM0917,86936,49646
GM0928,45442,49646
GM0935,120227,49646
GM0938,18661,49646
GM0944,7909,49646
GM0946,17171,49646
GM0957,58763,49646
GM0965,10477,49646
GM0971,24875,49646
GM0981,10084,49646
GM0983,101988,49646
GM0984,43713,49646
GM0986,12466,49646
GM0988,50011,49646
GM0994,16365,49646
GM0995,79811,49646
GM1507,42487,49646
GM1509,39346,49646
GM1525,37791,49646
GM1581,49946,49646
GM1586,29574,49646
GM1598,22940,49646
GM1621,63363,49646
GM1640,36045,49646
GM1641,23947,49646
GM1652,30760,49646
GM1655,30430,49646
GM1658,16243,49646
GM1659,22805,49646
GM1667,13127,49646
GM1669,20580,49646
GM1674,77200,49646
GM1676,34065,49646
GM1680,25399,49646
GM1681,25598,49646
GM1684,25404,49646
GM1685,15817,49646
GM1690,24374,49646
GM1695,7581,49646
GM1696,24463,49646
GM1699,31214,49646
GM1700,33699,49646
GM1701,19661,49646
GM1702,11691,49646
GM1705,46822,49646
GM1706,21001,49646
GM1708,44341,49646
GM1709,37185,49646
GM1711,31751,49646
GM1714,23166,49646
GM1719,27325,49646
GM1721,31455,49646
GM1723,10373,49646
GM1724,18754,49646
GM1728,20529,49646
GM1729,14206,49646
GM1730,33978,49646
GM1731,33381,49646
GM1734,48214,49646
GM1735,35040,49646
GM1740,24648,49646
GM1742,38204,49646
GM1771,40066,49646
GM1773,18361,49646
GM1774,26606,49646
GM1783,111382,49646
GM1842,19414,49646
GM1859,43846,49646
GM1876,36087,49646
GM1883,91743,49646
GM1884,27541,49646
GM1891,18943,49646
GM1892,45064,49646
GM1894,43660,49646
GM1895,38277,49646
GM1896,22823,49646
GM1900,89999,49646
GM1901,35278,49646
GM1903,25900,49646
GM1904,65108,49646
GM1911,48583,49646
GM1916,76433,49646
GM1924,50589,49646
GM1926,55674,49646
GM1930,85440,49646
GM1931,56622,49646
GM1940,51778,49646
GM1942,58524,49646
GM1945,35010,49646
GM1948,81647,49646
GM1949,46149,49646
GM1950,26215,49646
GM1952,60726,49646
GM1954,36065,49646
GM1955,36031,49646
GM1959,56352,49646
GM1960,51496,49646
GM1961,57829,49646
GM1963,88047,49646
GM1966,47834,49646
GM1969,63678,49646
GM1970,45481,49646
GM1978,44130,49646
GM1979,45587,49646
