t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.51754229240319,140281.04594776066,9783.909987791858,0.56084
2,95.6084,9699.596469861905,84.31351792995395,0.06432
3,95.6084,0.0,84.31351792995395,0.0
4,95.6084,0.0,84.31351792995395,0.0
5,95.6084,0.0,84.31351792995395,0.0
6,95.6084,0.0,84.31351792995395,0.0
7,95.6084,0.0,84.31351792995395,0.0
8,95.6084,0.0,84.31351792995395,0.0
9,95.6084,0.0,84.31351792995395,0.0
10,95.6084,0.0,84.31351792995395,0.0
11,95.6084,0.0,84.31351792995395,0.0
12,95.6084,0.0,84.31351792995395,0.0
13,95.6084,0.0,84.31351792995395,0.0
14,95.6084,0.0,84.31351792995395,0.0
15,95.6084,0.0,84.31351792995395,0.0
16,95.6084,0.0,84.31351792995395,0.0
17,95.6084,0.0,84.31351792995395,0.0
18,95.6084,0.0,84.31351792995395,0.0
19,95.6084,0.0,84.31351792995395,0.0
20,95.6084,0.0,84.31351792995395,0.0
21,95.6084,0.0,84.31351792995395,0.0
22,95.6084,0.0,84.31351792995395,0.0
23,95.6084,0.0,84.31351792995395,0.0
24,95.6084,0.0,84.31351792995395,0.0
25,95.6084,0.0,84.31351792995395,0.0
26,95.6084,0.0,84.31351792995395,0.0
27,95.6084,0.0,84.31351792995395,0.0
28,95.6084,0.0,84.31351792995395,0.0
29,95.60307627499856,0.0,84.31351792995395,0.0
30,95.57353808589342,82.46013999499931,99.91080262104819,0.00032
31,95.50154101447289,601.1717060974161,214.1970985855493,0.0024
32,95.37803032506706,1589.2720964293017,565.8174340975761,0.00632
33,95.2021027644291,2865.5551629505712,1266.4713695273265,0.01136
34,94.97485431590314,4337.198993094489,2420.2464765905534,0.0178
35,94.70412378200255,6420.651444520714,4191.928334171518,0.02588
36,94.38592325939472,7494.453126457052,6411.2414784741995,0.03024
37,94.00090805520901,9084.423060296456,9142.463113279153,0.0364
38,93.57449646275371,11179.78037511557,12603.151447992108,0.04504
39,93.0983238652546,13149.191096353192,16531.125231610553,0.05304
40,92.56505394812056,14393.671675235533,20864.699981065056,0.05844
41,92.05212783931653,16761.962824176477,26401.527757746644,0.06748
42,91.68425036986307,17494.833222120822,32108.363604678547,0.0712
43,91.56916191781683,15439.167376445144,37648.827279110425,0.06248
44,91.58968863857572,9955.363853592278,41802.83110484364,0.04088
45,91.63803728153765,5616.763390703611,44421.71571014429,0.02324
46,91.6485758623205,3394.107471565921,46039.58812335906,0.0144
47,91.69767360720871,3039.0631760844485,48001.98448677359,0.01324
48,91.74935977946089,2835.05406356112,48825.05509965382,0.01208
49,91.78286937468216,2267.7062554481263,49222.29210633999,0.00952
50,91.82552442579737,2186.718411825786,50138.42868146768,0.009
51,91.86725105049524,2305.5082646314645,50363.17848573766,0.00944
52,91.89900386747813,2337.5630801050456,50675.77100215258,0.00968
53,91.94604186554139,2774.6010337898497,51182.21633487997,0.01176
54,91.97187747278586,2507.487255528583,51261.92420275748,0.01044
55,91.97776278594732,2909.809117588164,51504.31687672245,0.01216
56,91.97794865287274,3761.8061893421805,51863.59821831497,0.01568
57,91.98287240170266,4690.270227868314,52862.71435866917,0.01916
58,91.97275331734185,5233.761819023178,53263.26094888336,0.02156
59,91.94194123416031,5929.245528693899,53812.123186847486,0.024
60,91.93995574835786,7253.1909140283005,54804.01627340153,0.0296
61,91.90810017479554,7504.0980451330515,55058.670300063975,0.03104
62,91.86116099997788,8693.588980939528,55662.37403476319,0.03556
63,91.8132261416566,9448.795742703347,56511.91297122271,0.03864
64,91.75781076286823,9912.619415996613,57644.306525816355,0.0404
65,91.73692032931176,11672.35827658796,59272.498367588814,0.0478
66,91.67908451728975,11037.266436145646,60349.863327820036,0.04556
67,91.64445463238204,11621.993247779612,61765.540965161046,0.04768
68,91.61082638138326,11569.263017272242,63312.55117103903,0.04744
69,91.58735910403239,11845.017473751499,65194.07731515307,0.04828
70,91.57338865665791,11806.550049940883,66898.5538979652,0.0478
71,91.5954255749163,11508.43759659881,68773.73843139078,0.04776
72,91.60145832947416,10397.377257696342,69931.99267248015,0.04308
73,91.62460256982033,8942.414356259222,71434.80216641504,0.03648
74,91.64970860272751,7274.6674084722035,72279.70471413489,0.03032
75,91.68347374887144,6262.713352427532,73245.09946002002,0.02616
76,91.70914272073189,4870.866556686166,73975.55548136978,0.01996
77,91.73332495812534,4098.127307326392,74798.6089907936,0.01672
78,91.73995937353897,2840.0941110034737,75399.17375849838,0.0116
79,91.76996981734534,2767.4420780840064,76193.14969209423,0.0116
80,91.78777241771235,2288.578942701375,76494.42786219643,0.00968
81,91.79367777699208,1756.2605180932155,76771.71581265569,0.00756
82,91.79809908281467,1553.2476432082933,77234.3209938707,0.00664
83,91.8097240886885,1615.2491236718588,77717.65009955964,0.00676
84,91.82364331126183,1409.1370346602098,77985.6542592139,0.00612
85,91.85074729234947,1383.360283505291,78670.77998087216,0.00644
86,91.89427260310553,1455.278742172402,79141.15807125095,0.0066
87,91.95284156539749,1556.3126992531895,79799.31695183262,0.00716
88,92.00496429619538,1467.8272270168436,80095.04221976553,0.007
89,92.0592339999981,1425.8677548801015,80662.95782832502,0.00704
90,92.13403070516767,1632.228071174134,81365.0741644839,0.00824
91,92.23479391906953,1965.0316474352765,81967.4766347424,0.00924
92,92.3212612805259,1842.9050921048556,82015.46972455885,0.00868
93,92.40105753835142,1677.8169784386957,82125.50698527393,0.00772
94,92.47797600087439,1493.7043002145938,81973.91849074153,0.00664
95,92.52379888543135,1343.9366559119585,81895.83349918286,0.00596
96,92.53574184184922,383.2226940156152,81052.92837607343,0.00168
97,92.54284609480204,336.3012737546471,80957.32064342232,0.00148
98,92.54813736117913,282.1995094573969,81004.79021875576,0.00128
99,92.5557509701504,258.46538309728265,81054.33939767274,0.00112
