GM_CODE,baseline,aant_inw_original,between_45_64,AANT_INW
GM0014,2841,13349,2168,233273
GM0034,2841,12287,2759,214715
GM0037,2841,1817,2956,31754
GM0047,2841,1569,2956,27417
GM0050,2841,1309,3055,22879
GM0059,2841,1597,2759,27900
GM0060,2841,214,2661,3746
GM0072,2841,905,2858,15807
GM0074,2841,2898,2858,50650
GM0080,2841,7123,2562,124481
GM0085,2841,1457,2956,25464
GM0086,2841,1706,2956,29812
GM0088,2841,53,3252,931
GM0090,2841,3207,2759,56040
GM0093,2841,279,2858,4870
GM0096,2841,68,3252,1194
GM0098,2841,1495,2858,26130
GM0106,2841,3939,2858,68836
GM0109,2841,2021,2956,35317
GM0114,2841,6124,2956,107024
GM0118,2841,3182,2661,55603
GM0119,2841,1968,2759,34386
GM0141,2841,4185,2759,73132
GM0147,2841,1354,2661,23668
GM0148,2841,1654,2858,28901
GM0150,2841,5793,2759,101236
GM0153,2841,9140,2562,159732
GM0158,2841,1386,2956,24229
GM0160,2841,3511,2759,61357
GM0163,2841,2056,2759,35932
GM0164,2841,4638,2759,81049
GM0166,2841,3117,2464,54474
GM0168,2841,1310,2956,22888
GM0171,2841,2723,2661,47583
GM0173,2841,1814,2759,31701
GM0175,2841,1047,2759,18295
GM0177,2841,2169,2956,37911
GM0180,2841,988,2365,17261
GM0183,2841,1220,2858,21315
GM0184,2841,1215,1971,21227
GM0189,2841,1404,2759,24538
GM0193,2841,7430,2464,129840
GM0197,2841,1552,2956,27120
GM0200,2841,9429,2759,164781
GM0202,2841,9294,2562,162424
GM0203,2841,3433,2365,59992
GM0209,2841,1497,3055,26157
GM0213,2841,1195,3055,20884
GM0214,2841,1546,3153,27009
GM0216,2841,1666,2956,29121
GM0221,2841,633,3153,11064
GM0222,2841,3334,2858,58270
GM0225,2841,1087,3055,18991
GM0226,2841,1434,3252,25066
GM0228,2841,6783,2562,118530
GM0230,2841,1341,2661,23429
GM0232,2841,1900,2858,33198
GM0233,2841,1546,2759,27016
GM0243,2841,2788,2661,48726
GM0244,2841,700,2759,12228
GM0246,2841,1074,2956,18776
GM0252,2841,948,3055,16569
GM0262,2841,1943,3055,33948
GM0263,2841,1456,3055,25452
GM0267,2841,2495,2661,43600
GM0268,2841,10149,2365,177359
GM0269,2841,1360,2759,23760
GM0273,2841,1394,2661,24365
GM0274,2841,1798,3055,31417
GM0275,2841,2491,2858,43525
GM0277,2841,99,3153,1726
GM0279,2841,580,2464,10128
GM0281,2841,2399,2858,41920
GM0285,2841,1419,2956,24790
GM0289,2841,2268,2168,39635
GM0293,2841,859,3055,15014
GM0294,2841,1661,2858,29022
GM0296,2841,2361,2956,41261
GM0297,2841,1685,2661,29447
GM0299,2841,2523,2858,44096
GM0301,2841,2753,2956,48111
GM0302,2841,1603,2562,28021
GM0303,2841,2404,2858,42011
GM0307,2841,9010,2759,157462
GM0308,2841,1419,2858,24792
GM0310,2841,2483,2759,43384
GM0312,2841,878,2858,15341
GM0313,2841,1260,2464,22019
GM0317,2841,536,3055,9362
GM0321,2841,2874,3055,50223
GM0327,2841,1748,2858,30544
GM0331,2841,827,2956,14456
GM0335,2841,795,2858,13896
GM0339,2841,318,2464,5556
GM0340,2841,1156,2759,20203
GM0342,2841,2684,2858,46906
GM0344,2841,20564,2069,359370
GM0345,2841,3829,2562,66912
GM0351,2841,780,2562,13639
GM0352,2841,1369,3055,23925
GM0353,2841,1935,3055,33819
GM0355,2841,3722,2661,65043
GM0356,2841,3655,2661,63866
GM0358,2841,1831,2956,31991
GM0361,2841,6289,2759,109896
GM0362,2841,5198,2562,90829
GM0363,2841,49975,2365,873338
GM0370,2841,579,2956,10110
GM0373,2841,1700,3055,29715
GM0375,2841,2396,2759,41863
GM0376,2841,684,2661,11952
GM0377,2841,1343,2956,23478
GM0383,2841,2065,2858,36086
GM0384,2841,1793,2266,31334
GM0385,2841,2075,2858,36268
GM0388,2841,1066,2759,18637
GM0392,2841,9301,2661,162543
GM0394,2841,9029,2956,157789
GM0396,2841,2243,2956,39191
GM0397,2841,1576,2759,27545
GM0398,2841,3341,2661,58387
GM0399,2841,1382,2956,24144
GM0400,2841,3238,2858,56582
GM0402,2841,5221,2661,91235
GM0405,2841,4213,2661,73619
GM0406,2841,2351,2956,41090
GM0415,2841,662,2956,11565
GM0416,2841,1621,2759,28335
GM0417,2841,652,2858,11400
GM0420,2841,2584,2858,45165
GM0431,2841,554,3055,9689
GM0432,2841,687,2759,12009
GM0437,2841,808,2858,14125
GM0439,2841,4674,2956,81683
GM0441,2841,2663,2858,46532
GM0448,2841,781,3055,13656
GM0450,2841,780,2956,13632
GM0451,2841,1728,2858,30206
GM0453,2841,3926,2956,68617
GM0457,2841,1170,2759,20445
GM0473,2841,982,3055,17168
GM0479,2841,8978,2759,156901
GM0482,2841,1152,2562,20136
GM0484,2841,6443,2759,112587
GM0489,2841,2784,2956,48643
GM0498,2841,1135,2858,19838
GM0501,2841,998,2956,17439
GM0502,2841,3852,2661,67319
GM0503,2841,5927,2266,103581
GM0505,2841,6816,2759,119115
GM0512,2841,2141,2759,37410
GM0513,2841,4216,2661,73681
GM0518,2841,31377,2562,548320
GM0523,2841,1054,2464,18413
GM0530,2841,2307,2858,40312
GM0531,2841,1789,2562,31258
GM0532,2841,1244,2661,21743
GM0534,2841,1270,2759,22197
GM0537,2841,3776,2562,65995
GM0542,2841,1683,2562,29410
GM0546,2841,7101,2365,124093
GM0547,2841,1567,2858,27377
GM0553,2841,1315,2858,22982
GM0556,2841,1921,2562,33567
GM0569,2841,1668,2956,29151
GM0575,2841,2521,2858,44062
GM0579,2841,1434,2759,25064
GM0589,2841,580,2759,10138
GM0590,2841,1841,2661,32171
GM0597,2841,2671,2661,46671
GM0599,2841,37288,2365,651631
GM0603,2841,3160,2464,55220
GM0606,2841,4537,2661,79279
GM0610,2841,1465,2464,25597
GM0613,2841,1477,3055,25814
GM0614,2841,853,3153,14900
GM0622,2841,4230,2562,73924
GM0626,2841,1468,2759,25650
GM0627,2841,1744,2464,30479
GM0629,2841,1542,2956,26949
GM0632,2841,3015,2759,52694
GM0637,2841,7168,2661,125267
GM0638,2841,506,2956,8843
GM0642,2841,2562,2562,44775
GM0654,2841,1306,2858,22818
GM0664,2841,2208,2759,38594
GM0668,2841,1120,3153,19581
GM0677,2841,1578,3153,27575
GM0678,2841,737,2759,12882
GM0687,2841,2802,2661,48964
GM0703,2841,1310,2365,22896
GM0715,2841,3117,2858,54463
GM0716,2841,1493,2661,26085
GM0717,2841,1256,2759,21953
GM0718,2841,2538,2759,44358
GM0736,2841,2559,3055,44720
GM0737,2841,1835,2759,32060
GM0743,2841,962,2858,16817
GM0744,2841,395,2858,6899
GM0748,2841,3863,2858,67514
GM0753,2841,1729,3055,30216
GM0755,2841,627,2858,10959
GM0756,2841,1694,3055,29609
GM0757,2841,1887,2858,32973
GM0758,2841,10536,2562,184126
GM0762,2841,1856,2858,32437
GM0765,2841,697,2956,12176
GM0766,2841,1509,2858,26368
GM0770,2841,1117,2956,19528
GM0772,2841,13487,2365,235691
GM0777,2841,2510,2759,43869
GM0779,2841,1246,2858,21770
GM0784,2841,1529,2858,26723
GM0785,2841,1371,2759,23952
GM0786,2841,714,2956,12486
GM0794,2841,5300,2858,92627
GM0796,2841,8898,2759,155490
GM0797,2841,2575,2956,45005
GM0798,2841,898,3055,15698
GM0809,2841,1345,2956,23504
GM0815,2841,630,3153,11004
GM0820,2841,1356,2858,23702
GM0823,2841,1078,3153,18842
GM0824,2841,1852,2956,32373
GM0826,2841,3216,2858,56206
GM0828,2841,5295,2858,92526
GM0840,2841,1321,3252,23080
GM0845,2841,1688,2956,29498
GM0847,2841,1112,2956,19428
