t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.54312014971933,154547.42920652026,10700.698295781569,0.5633976946292862
2,95.63397694629286,10586.621617932631,114.07667784893832,0.06436129595287444
3,95.63397694629286,0.0,114.07667784893832,0.0
4,95.63397694629286,0.0,114.07667784893832,0.0
5,95.63397694629286,0.0,114.07667784893832,0.0
6,95.63397694629286,0.0,114.07667784893832,0.0
7,95.63397694629286,0.0,114.07667784893832,0.0
8,95.63397694629286,0.0,114.07667784893832,0.0
9,95.63397694629286,0.0,114.07667784893832,0.0
10,95.63397694629286,0.0,114.07667784893832,0.0
11,95.63397694629286,0.0,114.07667784893832,0.0
12,95.63397694629286,0.0,114.07667784893832,0.0
13,95.63397694629286,0.0,114.07667784893832,0.0
14,95.63397694629286,0.0,114.07667784893832,0.0
15,95.63397694629286,0.0,114.07667784893832,0.0
16,95.63397694629286,0.0,114.07667784893832,0.0
17,95.63397694629286,0.0,114.07667784893832,0.0
18,95.63397694629286,0.0,114.07667784893832,0.0
19,95.63397694629286,0.0,114.07667784893832,0.0
20,95.63397694629286,0.0,114.07667784893832,0.0
21,95.63397694629286,0.0,114.07667784893832,0.0
22,95.63397694629286,0.0,114.07667784893832,0.0
23,95.63397694629286,0.0,114.07667784893832,0.0
24,95.63397694629286,0.0,114.07667784893832,0.0
25,95.63397694629286,0.0,114.07667784893832,0.0
26,95.63397694629286,0.0,114.07667784893832,0.0
27,95.63397694629286,0.0,114.07667784893832,0.0
28,95.63397694629286,0.0,114.07667784893832,0.0
29,95.6285089319106,0.0,114.07667784893832,0.0
30,95.59999127206032,91.73375220410337,132.4863715624635,0.00036362314097669173
31,95.52948853440861,712.5841847690349,284.83487797334647,0.0026180866150321805
32,95.41259731152381,1830.8235710759918,717.4876375080964,0.006654303479873459
33,95.2306051051066,3080.806379976444,1417.4012552882898,0.011054143485691429
34,94.99281492530946,4989.07768083697,2699.4690372630976,0.01810843242063925
35,94.7138474244865,6464.215462369784,4454.446173555716,0.023635504163484963
36,94.38600540348743,8329.165223561979,6900.539759721735,0.030217083015163085
37,94.01650341008681,10422.92939242812,10050.870664161635,0.03807134286025963
38,93.58392177068298,12125.988942010328,13664.39972251848,0.04487109559652376
39,93.11729940093402,14284.23228365948,18192.274238135185,0.052616268499327296
40,92.58628300408093,15867.041078277582,22908.58231276291,0.05832515181266136
41,92.05416359296986,18042.4922832968,28629.849221941524,0.06661575942692993
42,91.67501129355486,19891.576144216673,35192.92815624774,0.07341551216319407
43,91.55297589887043,16952.697643239626,41083.825755208665,0.06236136867750264
44,91.57844035205407,10987.101622090697,45698.93195312839,0.04094396567397549
45,91.5920507722011,5614.46548212869,48513.09045261832,0.02203556234318752
46,91.62435697849935,4056.782147331879,50892.566534453596,0.015817606632486093
47,91.67411191321793,3565.986495119593,52770.42162644282,0.014072215555797971
48,91.74254329949865,3206.6902951098887,54005.921173280614,0.012690447620086542
49,91.80651745725673,2680.865467254811,54692.0596966404,0.010654158030617068
50,91.8742335271372,2594.6582775194065,55512.1688317637,0.010072361005054362
51,91.92354775966993,2626.914874758048,55736.29744490668,0.010254172575542708
52,91.95854320657811,2430.0368034386556,55880.06256080009,0.009599650921784662
53,91.98101763477136,2626.076854024906,56181.35061993567,0.009817824806370678
54,92.00107138139663,3011.210961427186,56590.64177920773,0.011272317370277445
55,92.01835350875153,3597.5809318502033,56928.06021473731,0.013417693902039925
56,92.03062232233103,4132.430199932856,57236.95148126229,0.015563070433802407
57,92.00273841489093,4163.127713225334,57353.19926351412,0.015635795061997745
58,91.9898507834478,5658.616396008014,58246.86184797356,0.021017417548452783
59,91.98017557953283,6692.3135467725315,59192.169434100535,0.024799098214610377
60,91.93960832251845,7206.52572922662,59459.26515808605,0.026653576233591506
61,91.90565449126433,8332.887503655942,60571.559543071766,0.03141703938038617
62,91.86473505096734,9426.265249086333,61238.37161486664,0.03501690847605542
63,91.82683102720225,10342.300798619137,62596.89826711013,0.038907676084506015
64,91.79963580516015,11842.994382033345,64117.08480078071,0.044325660885058724
65,91.76570701027407,12351.953663964183,65423.65534010312,0.045780153448965494
66,91.72751658182636,12628.091583598925,66965.1519255322,0.04712555907057925
67,91.71990858920661,13181.082687497359,68619.26778847599,0.049125486345951055
68,91.68256697930927,13383.257514532797,69813.36254511288,0.04974364568561143
69,91.64026680333976,12564.834693632445,71118.7512777648,0.04665284898730955
70,91.59347200788528,12277.153420313494,72466.27910849449,0.04658012435911421
71,91.59644676570035,12416.721781584904,74757.50427364981,0.046071051961746844
72,91.6085399884086,11364.743397418013,76333.90177690737,0.042507545180175264
73,91.63307868576604,10093.13225469963,78058.37274166933,0.03788953128977128
74,91.6479878084022,8266.719284787621,79148.03010096656,0.03094432929711647
75,91.68535957269557,6930.014608419764,80293.55698601122,0.025744518381149776
76,91.7069945600193,5426.2186390016695,81235.0414824021,0.020326533580597068
77,91.73284868024346,4320.206645856279,81797.99766451085,0.0163994036580488
78,91.75731815629773,3426.926103680853,82534.20824546058,0.012981346132867895
79,91.77092001056273,2885.773577764489,83047.21097018999,0.010981418857496091
80,91.76915387400157,2244.8714234710537,83247.23627669203,0.008508781498854588
81,91.77012506551317,1999.782227509981,83814.90565231326,0.007781535216901204
82,91.7728345578289,1769.7868557417619,84340.6983197817,0.007127013563143159
83,91.79192885479927,1720.6595229627628,84949.97903114442,0.006654303479873459
84,91.82562039517653,1826.0396000357882,85598.08489581171,0.007272462819533835
85,91.86258166776882,1765.6175673566438,85983.44876445935,0.007199738191338497
86,91.91171306910358,1739.4812563926855,86640.49175835203,0.007417912075924512
87,91.98697880225521,2016.0676834768183,87683.28779330538,0.008690593069342932
88,92.0494953423213,1800.7262490638564,87876.51243458579,0.007854259845096542
89,92.11191962336531,1747.646251993776,88590.35030713037,0.007926984473291881
90,92.18934900500147,1856.116415561317,89244.64970612414,0.008472419184756918
91,92.28062676880567,2035.6177683296219,89806.54590706562,0.009163303152612632
92,92.36179747505534,1860.8455659993976,89778.5402405833,0.008399694556561579
93,92.45415573333702,1949.716152173699,90086.70057741943,0.008545143812952256
94,92.52597535433831,1643.0009546221727,89831.9825222801,0.007127013563143159
95,92.5822022580504,1679.171897729762,90121.18040067726,0.006945201992654812
96,92.60098718441039,541.664954784365,89028.04294620981,0.002109014217664812
97,92.61197506539436,386.0818041775823,88897.76983579784,0.0015635795061997746
98,92.62235799516634,362.72883329061784,88952.99216186485,0.0014181302498090978
99,92.63395383476042,332.5540173225921,88998.23655001876,0.001272680993418421
100,92.64404298905053,289.97350717402276,88982.50562399143,0.001054507108832406
101,92.6505711100338,246.86743037630174,89008.31855123215,0.0009817824806370677
102,92.65748565892201,245.10754128737688,89121.65530118122,0.0009454201665393986
103,92.66629491465997,270.7623338481991,89161.82676769987,0.0009817824806370677
104,92.67643470359015,256.0132691510801,89256.67055058849,0.0009090578524417294
105,92.68528388062879,227.94101229978628,89213.36380893821,0.0008363332242463911
106,92.68943075325393,138.39869200817617,89143.27026721743,0.0005454347114650376
107,92.69168249138521,115.57925641094945,89102.84921632364,0.0004363477691720301
108,92.69230667280245,66.05983962057458,89080.42720975101,0.00025453619868368423
109,92.69467313216425,89.50900742658706,89138.7223855225,0.0002908985127813534
110,92.69824174214041,99.04133914493764,89182.12767855576,0.00036362314097669173
111,92.70607225865315,163.47717237839146,89303.57226937878,0.0005817970255627068
112,92.71220758093544,157.35579583782078,89291.13943976483,0.0005817970255627068
113,92.71785344161536,124.92075915584735,89300.4970254961,0.0005090723973673685
114,92.72593143419722,155.25213033223554,89378.74263810809,0.000618159339660376
115,92.73252308753746,146.81928311848975,89352.82197930111,0.0005817970255627068
116,92.73734261702867,100.29549057755975,89328.79750806463,0.0004727100832696993
117,92.74351300208464,117.03437605785469,89364.13944134224,0.0005090723973673685
118,92.74684792250301,64.87616661388546,89312.86156920301,0.0002908985127813534
119,92.74824669151704,24.90064996832919,89302.36190951704,0.0001454492563906767
120,92.7500356060787,30.598233588508513,89309.55292642549,0.00018181157048834587
121,92.75236644392119,37.27043268810929,89322.89732462469,0.00021817388458601506
122,92.75430713621606,31.572849067929965,89315.2742409676,0.00018181157048834587
123,92.77493240402653,316.73184474781345,89605.03373885664,0.001272680993418421
124,92.79474123956012,304.5893411458012,89493.02770642878,0.001236318679320752
125,92.80777361868024,295.0575811495788,89106.08485461774,0.0011635940511254136
126,92.78850494786275,317.38695055656586,87882.31959444414,0.001272680993418421
127,92.71711168857715,579.4789085916808,85269.6494651792,0.002072651903567143
128,92.59757847264918,1824.995869938349,82240.92047097324,0.006763390422166467
129,92.41990269630223,3088.953434085495,78379.81201785087,0.011526853568961128
130,92.19740416033879,5230.474357139072,73868.68037967499,0.018726591760299626
131,91.9001457269292,6600.127170301577,68856.6007530141,0.02381731573397331
132,91.5747671588068,8283.475573466907,63564.33645159253,0.030580706156139777
133,91.21331402667957,10706.66023055991,57969.24170834603,0.038834951456310676
134,90.80641141639235,12312.12597827676,51687.7002281453,0.04468928402603542
135,90.33280072198096,13971.88481283794,44840.10073825364,0.05159812370459256
136,89.82137401529651,15747.10681976053,38488.52134696928,0.05861605032544271
137,89.30176768835419,18662.14787373194,33783.31597527543,0.06934293298425512
138,88.95090399275753,20217.848873010822,35926.932686424225,0.07425184538744045
139,88.84146256049095,16777.777580096936,41374.07103222041,0.06170684702374459
140,88.88945146299683,11389.54231422177,46417.96132773429,0.042434820551979925
141,88.94181352605862,6068.465338896982,49295.074895270904,0.02338096796480128
142,89.00520102006107,4555.490489887875,51760.76601782059,0.01799934547834624
143,89.07114250135227,3610.3119483327455,53057.56340363045,0.014363114068579324
144,89.1511379219423,3293.1230520372424,54146.86012468753,0.012726809934184211
145,89.22370413658234,2945.1465361132864,54900.80316758352,0.011708665139449475
146,89.30207699764651,2809.4963612387583,55718.25619694094,0.010981418857496091
147,89.36316249237673,2652.560440678748,55695.46781899874,0.010472346460128722
148,89.39708673325896,2455.1832101421437,55537.26530351608,0.009636013235882332
149,89.41457203602496,2513.616931791071,55282.227701246054,0.009526926293589325
150,89.42644310960893,2962.015106082537,55284.61604906589,0.011126868113886768
151,89.41016553746974,2960.106215541892,54845.17650429561,0.011054143485691429
152,89.38687470038656,3456.390316186287,54782.080212349145,0.013017708446965565
153,89.33914504405004,3884.4493143505965,54193.372839717376,0.013999490927602633
154,89.25413891137343,4080.2130658778146,53573.10266346669,0.014872186465946693
155,89.27508475700203,6084.720581877672,55109.18820248219,0.02294462019562925
156,89.20035241398546,5807.7075273374785,53570.37419329337,0.021926475400894513
157,89.09685780745127,6603.694007190314,52580.65839740763,0.024762735900512707
158,88.98040976581518,7530.515158719849,52136.76278641632,0.028944402021744663
159,88.8084878371407,7820.75917503255,50719.601306268814,0.028471691938474965
160,88.61800930994748,8502.592823854178,49997.95713105926,0.031017053925311806
161,88.4603866783007,9391.770526424276,50034.75160171924,0.03494418384786008
162,88.26708795905267,9122.15156637626,49278.77056344155,0.033671502854441655
163,88.06839245193183,9269.859665937525,48892.94426389379,0.0343260245081997
164,87.87893577933015,10207.972412497593,48481.400828715094,0.03770771971928293
165,87.68918788044188,9723.785692236464,48142.16762511746,0.03599869095669248
166,87.51921862797866,9592.390775033753,48104.039647695725,0.03559870550161812
167,87.37225082994964,8752.907204237414,48390.11329298746,0.031926111777753535
168,87.23568765717039,8285.760404911465,48753.912752811026,0.030726155412530452
169,87.13647264767947,7295.467879721991,49318.092761178224,0.027017199374568198
170,87.04240230455648,5854.56350426254,49996.706918184216,0.02203556234318752
171,86.99655150681532,5105.23104426773,50603.282307221416,0.019272026471764663
172,86.94633856700801,3982.6475126699333,51208.10949499403,0.015308534235118723
173,86.90046423014586,3043.965276354532,51759.771254333624,0.012072288280426167
174,86.84781911954613,2352.199488025131,52243.69106660718,0.009345114723100978
175,86.84636832322357,2323.8436013632536,53041.98545614629,0.009017853896221955
176,86.83503610216238,1998.9614512752812,53468.08401848766,0.007745172902803534
177,86.8347579951766,1957.481556679544,53835.555455041875,0.007417912075924512
178,86.8330997572981,1620.9290414334482,54435.926409185544,0.006290680338896767
179,86.83923656821005,1613.845359845637,54677.913857702064,0.006363404967092106
180,86.84765769469536,1465.795703983262,55075.77755200844,0.005817970255627068
181,86.86469766780361,1339.9873302456494,55480.70351945285,0.005490709428748046
182,86.87852668233273,1278.1763828990104,55682.93328244265,0.005236173230064361
183,86.90121700888534,1259.8510790697355,55929.978993325014,0.004945274717283008
184,86.92395267096211,1174.8985977639445,56018.88346791114,0.004436202319915639
185,86.94798379560763,1012.8198894873566,56207.28778520945,0.003927129922548271
186,86.97417856585837,977.2373842551287,56345.36703231482,0.0037816806661575943
187,87.0131623031114,1173.2161455460673,56980.987509814586,0.005090723973673684
188,87.04526433206914,907.1719504754493,57083.86798121027,0.004145303807134286
189,87.0798720818248,897.3428983425465,57260.01307419185,0.003927129922548271
190,87.10237728961422,693.1636927375143,57065.89486794182,0.002908985127813534
191,88.71952396634155,39539.542769236265,116298.74473473494,0.14399476382676993
192,88.73099495947561,428.1737177805774,77030.31062647949,0.0017090287625904513
193,88.7463192125119,479.9559798016958,77163.36453484268,0.0019272026471764663
194,88.7627223808686,434.7704679830591,77214.17324623531,0.0018181157048834588
195,88.77749256574968,423.35070896755326,77140.4176226951,0.0015635795061997746
196,88.787117765031,297.239832256187,77129.1614082029,0.0011635940511254136
197,88.79677721686386,300.5643316253853,77222.1218570768,0.0010908694229300752
198,88.80335615661684,238.5721649288347,77189.60867835936,0.0008726955383440602
199,88.80817252748369,187.68838581804323,77199.5343849748,0.0007272462819533835
200,88.81180587198494,177.07650206605012,77188.01320013397,0.000618159339660376
201,88.81615702149233,153.23474059208212,77230.12482498644,0.0005454347114650376
202,88.82207137328467,170.65825714940655,77246.70180954503,0.000618159339660376
203,88.82595116920339,120.65905906580329,77215.03717439034,0.0004727100832696993
204,88.83012114364615,126.20707263149512,77263.52038245596,0.0004727100832696993
205,88.8354328483779,129.66043149804577,77292.50618906305,0.0004727100832696993
206,88.84034212001177,147.91776043612492,77298.27207215157,0.0005454347114650376
207,89.19188113960426,8506.25149118684,86662.89651788214,0.03436238682229737
208,89.32653309959151,2905.083997957631,81031.33596264111,0.012508636049598197
209,89.4100677985255,1408.94010884969,79508.54033922241,0.006436129595287444
210,89.45406624178644,1319.3325801547796,79413.38743440702,0.0060361441402130836
211,89.4619146829001,153.00806364159624,78304.89483590287,0.000618159339660376
212,89.47028799393607,162.06400518152248,78301.10174582167,0.0006908839678557143
213,89.47923419795977,174.45258081669706,78310.62049365371,0.0007272462819533835
214,89.48457218564415,109.65993255478023,78255.09958929529,0.0004727100832696993
215,89.48768391155413,66.29233777599588,78184.99923367563,0.0002908985127813534
216,89.49003502963279,41.25239965112316,78165.38023475108,0.00021817388458601506
217,89.49182394419445,30.598233588508513,78166.87366803935,0.00018181157048834587
218,89.49369152519232,43.76280250426039,78176.63691169769,0.00021817388458601506
219,89.49455208425097,20.207269417334405,78133.43601687593,0.00010908694229300753
220,89.49530817478544,13.430674847805102,78085.36111294045,7.272462819533835e-05
221,89.49116512513844,13.430674847805102,77790.58403251458,7.272462819533835e-05
222,89.46417933694804,124.20321910541304,76771.91623029344,0.0005090723973673685
223,89.39103759823719,573.4537733772482,74823.23986082099,0.0021453765317624813
224,89.27221173680886,1813.5841407002088,72266.80490989651,0.006581578851678121
225,89.09727219992668,3166.6315822921524,69167.91882831231,0.011526853568961128
226,88.87240507707021,4998.277836673411,65434.235628906616,0.01818115704883459
227,88.5993258808298,6833.261468542296,61603.1070718089,0.025017272099196394
228,88.2826917993844,8863.099741715903,57329.86884861724,0.031817024835460526
229,87.92263915685797,10013.960954915601,52815.24289588485,0.036871386495036546
230,87.52260243761053,12435.68342952117,48067.15285883178,0.045961965019453835
231,87.0752621447867,14542.289708156628,42618.993735457276,0.05330715246718301
232,86.58541758330381,16677.918782041583,37540.35915637088,0.061161412312279555
233,86.08429106052681,18277.0760759456,33851.0421482015,0.0682884258754227
234,85.74274453724084,20033.29498137852,36432.666329150896,0.07367004836187775
235,85.66408273908469,17498.689862009163,42221.69175716311,0.0648703683502418
236,85.75631085598903,11980.70343003526,46943.597123215644,0.04454383476964474
237,85.84539409451729,6785.747122546644,50170.66099034733,0.025708156067052106
238,85.93322795283896,4810.027073473259,52462.74539922643,0.01905385258717865
239,86.02818258459817,4007.5887507563975,53687.853883838594,0.015744882004290753
240,86.11818477268415,3554.598748136603,54651.92769555744,0.014035853241700301
241,86.208596684853,3244.8788662559973,55567.147336655114,0.012944983818770227
242,86.28444946319502,2883.9937007208723,55664.289688641235,0.01145412894076579
243,86.35396552673468,2705.2247631635214,55983.36727770892,0.010363259517835715
244,86.39306526965599,2500.7783399230675,55568.31272375211,0.009672375549980001
245,86.40611000667124,2510.8895813919603,55254.61761967101,0.009599650921784662
246,86.40706068715933,2660.720564476721,55146.72820535024,0.0101450856332497
247,86.39773325944599,3225.0448845320666,54959.43053698065,0.012035925966328498
248,86.36969204153874,3425.7670447153196,54618.87792168031,0.012872259190574888
249,86.31817176384496,3677.909959999799,54059.01240897548,0.013563143158430602
250,86.24305101005365,4471.729976549965,53479.35300038312,0.016690302170830153
251,86.27462489967846,6320.502265794638,55551.106978390206,0.02345369259299662
252,86.20864097333803,6138.55593429348,53573.44363792533,0.023090069452019926
253,86.09648071729248,6286.519494896112,52191.00611893332,0.023162794080215265
254,85.95666003969478,7038.816840463849,51099.849595833075,0.026217228464419477
255,85.78898477346739,7624.749192128027,50196.13515354738,0.028326242682084286
