T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
1,0,0,-10008.19141,0,-59958.29297,0,0
8760,40,374.169037,400329.1563,400,350378.6875,367,330
4380.5,7.251336014,62.06231167,51097.44168,72.51335966,1147.062319,23.14039009,13.21348886
2528.938512,13.73812642,52.98777572,59583.98572,137.381263,59584.03775,47.45064874,36.33858596
8760,2596,7597,8261,2647,2912,3297,1899
1,0,40,23929.2793,0,-26021.32031,0,10.200002
2,23.952097,0,91101.35156,239.520966,41150.35156,16.047903,0
3,0,40,111974.5234,0,62023.92578,0,109.200005
4,0,40,114333.6016,0,64383,258,0
5,0,80,98350.25,0,48400.04688,0,217.199997
6,12.83293,58.569008,120117.9375,128.3293,70167.52344,256.167084,0
7,0,58.569008,94469,0,44518.58594,200,0
8,0,58.569008,92622.44531,0,42672.03125,245,0
9,0,98.569008,78101.09375,0,28151.07617,0,80.200005
10,0,98.569008,45389.55078,0,-4560.462891,21,0
11,0,98.569008,67403.19531,0,17453.18359,0,88
12,0,98.569008,54087.24609,0,4137.233398,161,0
13,0,138.569,75171.60938,0,25221.99805,0,71.200005
14,0,160.399994,132069.6406,0,82120.25,0,0
15,0,160.399994,145403.7031,0,95454.29688,140,0
16,40,93.599998,62622.39844,400,12672.33594,9,0
17,0,133.600006,78897.77344,0,28948.10742,0,73.200005
18,40,66.800011,53724.64844,400,3774.318115,71,0
19,40,0.000012,87146.75,400,37195.75,27,0
20,0,40.000011,90619.67969,0,40669.07813,0,69.200005
21,0,80.000015,95027.16406,0,45076.96875,0,92.200005
22,40,13.200017,131496.6563,400,81545.78906,76,0
23,7.904202,0,110137.2188,79.042023,60186.22266,84.095795,0
24,0,0,59460.15234,0,9509.151367,0,123
25,0,0,78023.60156,0,28072.60156,0,189
26,0,0,49753.94922,0,-197.050797,0,152
27,0,33.802818,49682.25,0,-268.410522,0,0
28,0,73.802818,38795.73047,0,-11154.53223,0,39.200001
29,0,73.802818,57491.79688,0,7541.536133,85,0
30,0,73.802818,78072.60156,0,28122.33984,0,190
31,0,73.802818,47887.25,0,-2063.010742,93,0
32,0,73.802818,56495.34766,0,6545.086914,0,27
33,0,73.802818,75992.5,0,26042.23438,157,0
34,0,73.802818,88129.29688,0,38179.03516,182,0
35,0,78.028168,75420.5,0,25470.27734,0,0
36,0,118.028168,56207.09766,0,6257.279297,0,71.200005
37,0,118.028168,83569.75,0,33619.92578,0,141
38,12,97.988167,49162.65234,120,-787.368408,0,0
39,0,97.988167,42036.85156,0,-7913.169922,57,0
40,0,137.988159,67186.00781,0,17236.38867,0,39.200001
41,0,137.988159,123503.8516,0,73554.23438,108,0
42,0,177.988159,123857.8438,0,73908.625,0,169.199997
43,40,111.188164,184152.0938,400,134202.2031,60,0
44,0,111.188164,137072.0469,0,87122.15625,97,0
45,40,44.388165,72875.30469,400,22924.74609,6,0
46,0,84.388168,108173.5703,0,58223.41406,0,28.200003
47,0,124.388168,59059.23047,0,9109.474609,0,31.200003
48,0,124.388168,41272.60156,0,-8677.154297,56,0
49,22.629507,86.596893,33875.13672,226.295074,-16074.99609,57.370495,0
50,0,106.315201,14775.94922,0,-35173.98828,0,0
51,0,128.850418,20083.5,0,-29866.21094,0,0
52,0,168.850418,17222.66016,0,-32726.65234,0,15.200002
53,0,178.709579,11000.5,0,-38948.71484,0,0
54,0,178.709579,13967.55078,0,-35981.66406,31,0
55,0,187.864502,15488,0,-34461.12109,0,0
56,0,211.808167,17654,0,-32294.88281,0,0
57,0,233.63916,20657,0,-29291.66406,0,0
58,40,166.839157,29095.90039,400,-20853.43164,36,0
59,17,138.449158,26272.5,170,-23677.11523,0,0
60,36,78.329163,17482.05078,360,-32468.16602,0,0
61,10,61.629162,24808.94922,100,-25141.43359,0,0
62,3.651267,55.531548,14532.83008,36.512672,-35417.61328,32.348732,0
63,0.000001,55.531548,13394.7002,0.000011,-36555.74609,17.999998,0
64,0,56.939999,20300.30078,0,-29650.12891,0,0
65,0,96.940002,16440.39063,0,-33509.64063,0,12.200002
66,40,30.140003,39265.29688,400,-10685.39941,31,0
67,0,70.139999,26741.58008,0,-23208.71875,0,11.200002
68,12,50.099998,33195.34766,120,-16755.15039,0,0
69,30,0,16469.40039,300,-33481.60156,0,0
70,0,11.267606,10744.25,0,-39206.63672,0,0
71,6.747069,0,11275.88867,67.470695,-38675.10938,4.252931,0
72,0,3.521127,20161.15039,0,-29789.81445,0,0
73,0,27.46479,28579.14844,0,-21371.57617,0,0
74,0,67.46479,30327.37891,0,-19622.94531,0,4.200002
75,0,67.46479,23131.90039,0,-26818.42578,92,0
76,0,67.46479,21253.40039,0,-28696.92578,0,69
77,0,99.859154,19863.75,0,-30086.25195,0,0
78,0,99.859154,18593.60156,0,-31356.40039,79,0
79,0,101.971832,19707.15039,0,-30242.83008,0,0
80,0,101.971832,22184.25,0,-27765.73047,0,9
81,0,101.971832,19502.20117,0,-30447.7793,29,0
82,0,141.971832,31931.7793,0,-18017.80078,0,47.200001
