T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
1,0,0,63.990005,0,-49887.01172,0,0
8760,40,535,252317.5,400,202367.5781,59,70.200005
4380.5,3.528567827,19.77437184,52042.06801,35.28567811,2091.265773,5.729982651,0.953918845
2528.938512,7.018070966,66.98531448,53740.03106,70.18070992,53740.16829,9.85024994,5.063328014
8760,3395,2614,8760,3406,3094,4077,542
1,0,0,89728.5,0,39777.5,15,0
2,0,0,89071.5,0,39120.5,15,0
3,0,0,89653.5,0,39702.5,15,0
4,0,0,89860.5,0,39909.5,15,0
5,0,0,89145,0,39194,15,0
6,0,0,89139,0,39188,15,0
7,0,0,91807.5,0,41856.5,15,0
8,0,0,90406.5,0,40455.5,15,0
9,0,0,89208,0,39257,15,0
10,0,0,89152.5,0,39201.5,15,0
11,0,0,89908.5,0,39957.5,15,0
12,0,0,89257.5,0,39306.5,15,0
13,0,0,89067,0,39116,15,0
14,0,0,88945.5,0,38994.5,15,0
15,0,0,89077.5,0,39126.5,15,0
16,0,0,89041.5,0,39090.5,15,0
17,0,0,89172,0,39221,15,0
18,0,0,89038.5,0,39087.5,15,0
19,0,0,89068.5,0,39117.5,15,0
20,0,0,88957.5,0,39006.5,15,0
21,0,0,89665.5,0,39714.5,15,0
22,0,0,89023.5,0,39072.5,15,0
23,0,0,89224.5,0,39273.5,15,0
24,0,0,90001.5,0,40050.5,15,0
25,0,0,76714.28125,0,26763.27734,0,20
26,0,0,76044.28125,0,26093.27734,0,20
27,14.583638,0,75648.28125,145.83638,25697.27734,0,0
28,14.583638,0,75648.28125,145.83638,25697.27734,0,0
29,0,0,76378.28125,0,26427.27734,0,20
30,0,0,76508.28125,0,26557.27734,0,20
31,0,0,76958.28125,0,27007.27734,0,20
32,0,0,78380.28125,0,28429.27734,0,20
33,0,0,75882.28125,0,25931.27734,0,20
34,14.583638,0,75648.28125,145.83638,25697.27734,0,0
35,14.583638,0,75648.28125,145.83638,25697.27734,0,0
36,0,0,75678.28125,0,25727.27734,0,20
37,0,0,75848.28125,0,25897.27734,0,20
38,14.583638,0,75648.28125,145.83638,25697.27734,0,0
39,14.583638,0,75648.28125,145.83638,25697.27734,0,0
40,14.583638,0,75648.28125,145.83638,25697.27734,0,0
41,0,0,75918.28125,0,25967.27734,0,20
42,14.583638,0,75648.28125,145.83638,25697.27734,0,0
43,14.583638,0,75648.28125,145.83638,25697.27734,0,0
44,14.583638,0,75648.28125,145.83638,25697.27734,0,0
45,14.583638,0,75648.28125,145.83638,25697.27734,0,0
46,14.583638,0,75648.28125,145.83638,25697.27734,0,0
47,0,14.084508,75648.28125,0,25697.41797,0,0
48,0,28.169016,75648.28125,0,25697.55859,0,0
49,0,28.169016,20278.41016,0,-29672.30859,2,0
50,2,24.829016,20323.00977,20,-29627.74219,0,0
51,0.867674,23.379999,20280.09375,8.676744,-29670.67188,1.132326,0
52,0,23.379999,20259.60938,0,-29691.15625,2,0
53,0,23.379999,20348.00977,0,-29602.75586,2,0
54,0,23.379999,20253.20898,0,-29697.55664,2,0
55,0,23.379999,20240.60938,0,-29710.15625,2,0
56,0,23.379999,20260.20898,0,-29690.55664,2,0
57,0,23.379999,20339.20898,0,-29611.55664,2,0
58,2,20.039999,20323.00977,20,-29627.78906,0,0
59,2,16.699999,20323.00977,20,-29627.82227,0,0
60,2,13.359999,20323.00977,20,-29627.85742,0,0
61,2,10.019999,20323.00977,20,-29627.89063,0,0
62,0,10.019999,20236.00977,0,-29714.89063,2,0
63,0,10.019999,20237.20898,0,-29713.68945,2,0
64,0,10.019999,20249.41016,0,-29701.49023,2,0
65,0,10.019999,20229.41016,0,-29721.49023,2,0
66,2,6.679998,20323.00977,20,-29627.92383,0,0
67,0,6.679998,20234.81055,0,-29716.12305,2,0
68,2,3.339998,20323.00977,20,-29627.95703,0,0
69,1.999999,0,20323.00977,19.999992,-29627.99023,0.000001,0
70,0,0,20295.60938,0,-29655.39063,2,0
71,0,0,20264.41016,0,-29686.58984,2,0
72,0,0,20343.20898,0,-29607.79102,2,0
73,0,0,36196.39063,0,-13754.60938,1,0
74,0,0,36191.19141,0,-13759.80957,1,0
75,0,0,36202.58984,0,-13748.40918,1,0
76,0,0,36250.78906,0,-13700.20996,1,0
77,0,0,36235.58984,0,-13715.40918,1,0
78,0,0,36194.69141,0,-13756.30957,1,0
79,0,0,36196.19141,0,-13754.80957,1,0
80,0,0,36269.39063,0,-13681.60938,1,0
81,0,0,36200.08984,0,-13750.90918,1,0
82,0,0,36194.08984,0,-13756.90918,1,0
83,0,0,36151.19141,0,-13799.80957,1,0
84,0,0,36189.28906,0,-13761.70996,1,0
85,0,0,36007.08984,0,-13943.90918,1,0
86,0,0,36197.78906,0,-13753.20996,1,0
87,0,0,36210.39063,0,-13740.60938,1,0
88,0,0,36192.49219,0,-13758.50977,1,0
89,0,0,36196.89063,0,-13754.10938,1,0
90,0,0,36175.69141,0,-13775.30957,1,0
91,0,0,36187.69141,0,-13763.30957,1,0
92,0,0,36174.08984,0,-13776.90918,1,0
93,0,0,36191.58984,0,-13759.40918,1,0
94,0,0,36195.39063,0,-13755.60938,1,0
95,0,0,36212.28906,0,-13738.70996,1,0
96,0,0,36199.28906,0,-13751.70996,1,0
97,0,0,69940.85156,0,19989.85156,0,6
98,0,0,69973.25,0,20022.25195,0,6
99,0,0,69982.85156,0,20031.85156,0,6
100,0,0,70816.85156,0,20865.85156,0,6
101,0,0,71787.05469,0,21836.05273,0,6
102,0,0,69953.45313,0,20002.45117,0,6
103,0,0,70203.05469,0,20252.05273,0,6
104,0,0,70083.64844,0,20132.65234,0,6
105,0,0,69947.45313,0,19996.45117,0,6
106,4.375092,0,69875.45313,43.750916,19924.45117,0,0
107,4.375092,0,69875.45313,43.750916,19924.45117,0,0
108,4.375092,0,69875.45313,43.750916,19924.45117,0,0
109,4.375092,0,69875.45313,43.750916,19924.45117,0,0
110,4.375092,0,69875.45313,43.750916,19924.45117,0,0
111,4.375092,0,69875.45313,43.750916,19924.45117,0,0
112,4.375092,0,69875.45313,43.750916,19924.45117,0,0
113,4.375092,0,69875.45313,43.750916,19924.45117,0,0
114,4.375092,0,69875.45313,43.750916,19924.45117,0,0
115,2.042002,2.253238,69875.45313,20.420025,19924.47461,0,0
116,0,6.47859,69875.45313,0,19924.51758,0,0
117,0,10.703942,69875.45313,0,19924.55859,0,0
118,0,14.929295,69875.45313,0,19924.60156,0,0
119,0,19.154646,69875.45313,0,19924.64453,0,0
120,0,23.379997,69875.45313,0,19924.68555,0,0
121,2,20.039997,12930.33984,20,-37020.46094,0,0
122,1.999999,16.699999,12930.33984,19.999987,-37020.49219,0.000001,0
123,0,16.699999,12779.54004,0,-37171.29297,2,0
124,2,13.36,12930.33984,19.999996,-37020.52734,0,0
125,0,13.36,12843.74023,0,-37107.125,2,0
126,0,13.36,12828.74023,0,-37122.125,2,0
127,2,10.02,12930.33984,20,-37020.55859,0,0
128,2,6.68,12930.33984,20,-37020.59375,0,0
129,2,3.34,12930.33984,20,-37020.625,0,0
130,0,3.34,12814.54004,0,-37136.42578,2,0
131,2,0,12930.33984,20,-37020.66016,0,0
132,0,0,12832.93945,0,-37118.05859,2,0
133,0,0,12837.13965,0,-37113.85938,2,0
134,0,0,12871.54004,0,-37079.46094,2,0
135,0,0,12850.13965,0,-37100.85938,2,0
136,0,0,12859.33984,0,-37091.66016,2,0
137,0,0,12938.74023,0,-37012.26172,2,0
138,0,0,12908.74023,0,-37042.26172,2,0
139,0,0,12842.33984,0,-37108.66016,2,0
140,0,0,12904.13965,0,-37046.85938,2,0
141,0,0,12773.13965,0,-37177.85938,2,0
142,0,0,12908.74023,0,-37042.26172,2,0
143,0,0,12862.74023,0,-37088.26172,2,0
144,0,0,12864.33984,0,-37086.66016,2,0
145,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
146,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
147,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
148,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
149,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
150,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
151,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
152,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
153,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
154,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
155,0,0,34708.67969,0,-15242.32129,0,17
156,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
157,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
158,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
159,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
160,12.396092,0,34696.77734,123.96093,-15254.2207,0,0
161,8.959463,3.31901,34696.77734,89.594627,-15254.1875,0,0
162,0,15.290841,34696.77734,0,-15254.06836,0,0
163,0,27.262672,34696.77734,0,-15253.94824,0,0
164,0,39.234505,34696.77734,0,-15253.82813,0,0
165,0,51.206337,34696.77734,0,-15253.70898,0,0
