baseline,rolling_average,triangular,weibull
94.0,97.47663422034495,81.77351978587605,78.2
94.0,95.07214177172787,99.20432818894308,106.4
94.0,93.81474668291251,98.93663161246154,71.2
94.0,89.35474804588685,98.01001730109066,120.9
94.0,87.00631569217728,87.38546040050035,105.5
94.0,93.25740713407686,103.12499573313384,83.3
94.0,97.88622896729811,97.07586489891933,95.7
94.0,99.72688280783406,92.55303123360557,104.9
94.0,94.33827862841923,112.91499017620652,87.2
94.0,100.38202212062595,91.40592800316537,112.8
94.0,98.6231985329438,90.05887868195836,72.7
94.0,95.99241474431008,103.33072703675167,70.3
94.0,98.03424252406367,109.69927877758643,120.2
94.0,91.4667192821443,114.69485774235184,126.0
94.0,88.944946352692,86.18901790897927,79.5
94.0,97.94243102079741,106.89848919192454,104.6
94.0,100.88672521141308,113.43609330102908,111.9
94.0,99.32895788891759,83.66630396101333,84.0
94.0,91.0818462595752,76.80079773138117,102.4
94.0,87.21266225556067,85.7755363265561,90.9
94.0,89.94185643909891,91.17275662490813,117.4
94.0,91.60971075627839,82.46691662529582,77.0
94.0,89.24757702673315,98.92506337888082,83.4
94.0,94.93741791159586,100.47609477086723,118.1
88.0,92.43829493761285,107.71225002873497,107.1
88.0,91.84844794911365,74.77341818987418,64.9
88.0,87.10536561102273,62.69044374180245,115.5
88.0,81.77034625176267,92.87907111218752,82.6
88.0,86.60627730404197,108.73001916435929,97.4
88.0,81.7403170854219,101.96474644973608,74.3
88.0,85.1810519899336,88.80306236029286,103.7
88.0,83.52130286662316,84.47771838470307,73.2
88.0,81.38517232290525,107.49718972506432,79.9
88.0,84.84902090943154,103.2264760074275,103.9
88.0,87.90694280134707,73.67259275772727,107.1
88.0,85.4738635950386,96.4986947938896,77.8
88.0,81.54331657608483,87.67055333277088,90.8
88.0,90.75494326738158,91.06820867999792,72.6
88.0,91.9514815978022,104.90973885373589,94.7
88.0,91.43517606938363,69.17622342248697,86.0
88.0,85.10363363117425,91.09707583390434,101.8
88.0,87.04790283174951,94.35913332616487,101.3
88.0,86.27185487491286,87.96169983026493,79.4
88.0,91.56556248052128,73.97322628827456,96.4
88.0,89.6986202669479,84.48094178931453,110.3
88.0,92.51914545601633,73.67815946863013,80.9
88.0,84.46407090202669,69.26965317810733,62.6
88.0,83.29630898275944,71.45333780458277,101.7
57.0,66.68578572264798,52.16271397817514,66.0
57.0,61.652892882065686,61.42247989729917,53.9
57.0,57.123773521281485,49.55657977056366,68.6
57.0,59.09307244287426,49.835155108432126,61.8
57.0,59.895165278034696,49.18015056343966,46.1
57.0,55.09344720480665,50.32575490074634,66.5
57.0,52.856306452544615,58.7741843165425,43.3
57.0,57.78836350472979,63.06523539024454,45.4
57.0,55.32800561386279,42.63717015749059,64.1
57.0,52.72166558917969,62.26197245635069,42.7
57.0,57.24428025004828,58.62575147763319,45.0
57.0,55.462010678022665,59.52167445415033,59.9
57.0,52.79927557881752,50.51612230671175,61.4
57.0,57.3762685687943,48.478343300004305,41.2
57.0,54.95276250149996,67.15397955958099,63.3
57.0,55.19409649898398,62.87523854173694,48.7
57.0,58.17220203827464,60.05727211373954,67.7
57.0,56.59636738462931,50.72860267259839,48.2
57.0,55.1033451921985,56.870123229472384,63.4
57.0,56.46968200584419,63.272165531235146,67.5
57.0,57.03440609800836,59.19427882449781,55.6
57.0,57.44163250847954,55.57469698292399,51.1
57.0,57.52540537528175,55.92012208162925,67.5
57.0,54.88541292103696,64.97707144784722,53.4
73.0,61.9580281198002,69.92646775540035,64.1
